subject,t_start,ok,reason,ch,bin,phase_var,drifted,hr_fft_bpm,snr_db,spectral_ratio,n_peaks,ibi_ok_ratio,ibi_cv,harm_dist,br_freq_bpm
sub-rest_3min_,0.0,True,,2,16,28.88,0,84.0,7.83,0.248,14,1.0,0.054,0.357,18.0
sub-rest_3min_,5.0,False,no_target,,,,,,,,,,,,
sub-rest_3min_,10.0,True,,0,17,5.73,1,84.0,9.89,0.287,14,1.0,0.031,0.357,18.0
sub-rest_3min_,15.0,True,,0,17,11.12,0,72.0,8.27,0.271,12,1.0,0.031,0.25,18.0
sub-rest_3min_,20.0,True,,0,17,7.0,0,60.0,5.31,0.175,10,1.0,0.046,0.1,18.0
sub-rest_3min_,25.0,True,,4,17,11.86,0,60.0,14.0,0.453,10,1.0,0.032,0.2,24.0
sub-rest_3min_,30.0,True,,4,17,3.12,0,84.0,5.77,0.178,14,1.0,0.024,0.357,18.0
sub-rest_3min_,35.0,True,,4,17,0.79,0,84.0,9.38,0.312,14,1.0,0.027,0.357,18.0
sub-rest_3min_,40.0,True,,4,17,0.45,0,66.0,10.81,0.342,11,1.0,0.03,0.182,18.0
sub-rest_3min_,45.0,True,,4,17,0.5,0,72.0,10.01,0.284,12,1.0,0.04,0.25,18.0
sub-rest_3min_,50.0,True,,4,17,7.04,0,72.0,9.3,0.289,12,1.0,0.02,0.75,6.0
sub-rest_3min_,55.0,True,,4,17,12.12,0,54.0,8.76,0.253,9,1.0,0.036,0.333,12.0
sub-rest_3min_,60.0,True,,4,17,15.01,0,66.0,9.11,0.26,11,1.0,0.049,0.182,18.0
sub-rest_3min_,65.0,True,,4,17,4.77,0,54.0,10.21,0.289,9,1.0,0.049,0.333,12.0
sub-rest_3min_,70.0,True,,0,17,0.97,0,108.0,5.44,0.163,18,1.0,0.022,0.5,18.0
sub-rest_3min_,75.0,True,,3,17,0.98,0,90.0,7.42,0.229,15,1.0,0.038,0.4,18.0
sub-rest_3min_,80.0,True,,3,17,0.95,0,90.0,8.41,0.257,15,1.0,0.034,0.4,18.0
sub-rest_3min_,85.0,True,,3,17,0.96,0,90.0,8.74,0.277,15,1.0,0.017,0.4,18.0
sub-rest_3min_,90.0,True,,4,17,5.83,0,54.0,6.8,0.197,9,1.0,0.048,0.333,12.0
sub-rest_3min_,95.0,True,,0,17,4.93,0,90.0,6.57,0.186,15,1.0,0.026,0.4,18.0
sub-rest_3min_,100.0,True,,0,17,4.71,0,90.0,7.73,0.233,15,1.0,0.057,0.4,18.0
sub-rest_3min_,105.0,True,,0,17,2.56,0,90.0,9.39,0.323,15,1.0,0.021,0.4,18.0
sub-rest_3min_,110.0,True,,0,17,2.55,0,90.0,12.77,0.43,15,1.0,0.045,0.4,18.0
sub-rest_3min_,115.0,True,,0,17,2.12,0,90.0,14.06,0.483,15,1.0,0.022,0.4,18.0
sub-rest_3min_,120.0,True,,0,17,1.98,0,90.0,13.66,0.437,14,1.0,0.015,0.4,18.0
sub-rest_3min_,125.0,True,,0,17,1.89,0,90.0,14.63,0.496,15,1.0,0.022,0.4,18.0
sub-rest_3min_,130.0,True,,0,17,1.94,0,90.0,15.16,0.517,14,1.0,0.032,0.4,18.0
sub-rest_3min_,135.0,True,,0,17,1.83,0,90.0,14.78,0.487,15,1.0,0.021,0.4,18.0
sub-rest_3min_,140.0,True,,0,17,1.85,0,90.0,14.24,0.517,14,1.0,0.015,0.4,18.0
sub-rest_3min_,145.0,True,,0,17,2.1,0,90.0,15.2,0.506,15,1.0,0.018,0.4,18.0
sub-rest_3min_,150.0,True,,0,17,2.04,0,90.0,16.9,0.538,14,1.0,0.023,0.4,18.0
sub-rest_3min_,155.0,True,,0,17,1.77,0,90.0,12.3,0.429,15,1.0,0.017,0.4,18.0
sub-rest_3min_,160.0,True,,0,17,1.84,0,90.0,7.98,0.271,14,1.0,0.033,0.4,18.0
sub-rest_3min_,165.0,True,,0,17,1.88,0,90.0,16.82,0.577,15,1.0,0.018,0.2,24.0
sub-rest_3min_,170.0,True,,0,17,1.93,0,90.0,9.97,0.316,15,1.0,0.061,0.4,18.0
