script_path,hit_count,classification,cutover_role,blocker_status
scripts/analyze_EData_batch.py,1,LEGACY_PROVENANCE_ONLY,not a current/future canonical entrypoint,excluded from cutover blocker
scripts/analyze_formal_cross_subject.py,1,LEGACY_PROVENANCE_ONLY,not a current/future canonical entrypoint,excluded from cutover blocker
scripts/analyze_mmwave_hrv.py,2,LEGACY_PROVENANCE_ONLY,not a current/future canonical entrypoint,excluded from cutover blocker
scripts/analyze_formal_behavior.py,2,LEGACY_PROVENANCE_ONLY,not a current/future canonical entrypoint,excluded from cutover blocker
scripts/analyze_formal_probe_centric.py,2,LEGACY_PROVENANCE_ONLY,not a current/future canonical entrypoint,excluded from cutover blocker
scripts/analyze_rest_3min.py,2,LEGACY_PROVENANCE_ONLY,not a current/future canonical entrypoint,excluded from cutover blocker
scripts/analyze_external_heartbeat_0814.py,1,LEGACY_PROVENANCE_ONLY,not a current/future canonical entrypoint,excluded from cutover blocker
scripts/analyze_formal_block_level.py,1,LEGACY_PROVENANCE_ONLY,not a current/future canonical entrypoint,excluded from cutover blocker
scripts/analyze_mmwave_full.py,2,LEGACY_PROVENANCE_ONLY,not a current/future canonical entrypoint,excluded from cutover blocker
scripts/analyze_formal_event_related.py,1,LEGACY_PROVENANCE_ONLY,not a current/future canonical entrypoint,excluded from cutover blocker
scripts/analyze_formal_vigilance.py,1,LEGACY_PROVENANCE_ONLY,not a current/future canonical entrypoint,excluded from cutover blocker
scripts/audit_100_subject_target.py,1,LEGACY_PROVENANCE_ONLY,not a current/future canonical entrypoint,excluded from cutover blocker
scripts/audit_behavior_outcomes.py,1,LEGACY_PROVENANCE_ONLY,not a current/future canonical entrypoint,excluded from cutover blocker
scripts/audit_crossmodal_time_gate.py,1,LEGACY_PROVENANCE_ONLY,not a current/future canonical entrypoint,excluded from cutover blocker
scripts/audit_label_coverage.py,1,LEGACY_PROVENANCE_ONLY,not a current/future canonical entrypoint,excluded from cutover blocker
scripts/audit_project_completion.py,1,LEGACY_PROVENANCE_ONLY,not a current/future canonical entrypoint,excluded from cutover blocker
scripts/build_system_mode_policy.py,1,LEGACY_PROVENANCE_ONLY,not a current/future canonical entrypoint,excluded from cutover blocker
scripts/audit_source_inventory.py,4,LEGACY_PROVENANCE_ONLY,not a current/future canonical entrypoint,excluded from cutover blocker
scripts/audit_source_evidence.py,8,LEGACY_PROVENANCE_ONLY,not a current/future canonical entrypoint,excluded from cutover blocker
scripts/calibrate_ecg_mmwave.py,1,LEGACY_PROVENANCE_ONLY,not a current/future canonical entrypoint,excluded from cutover blocker
