repeat_participant_id,outer_fold_id
R027,LOSO_001
R028,LOSO_002
R030,LOSO_003
R031,LOSO_004
R034,LOSO_005
R036,LOSO_006
R038,LOSO_007
R039,LOSO_008
R040,LOSO_009
R041,LOSO_010
R043,LOSO_011
R046,LOSO_012
R047,LOSO_013
R048,LOSO_014
R049,LOSO_015
R051,LOSO_016
R053,LOSO_017
R054,LOSO_018
R056,LOSO_019
R058,LOSO_020
R060,LOSO_021
R061,LOSO_022
R062,LOSO_023
R064,LOSO_024
R065,LOSO_025
R066,LOSO_026
R069,LOSO_027
R070,LOSO_028
R071,LOSO_029
R072,LOSO_030
R074,LOSO_031
R075,LOSO_032
R076,LOSO_033
R078,LOSO_034
R079,LOSO_035
R082,LOSO_036
R084,LOSO_037
R089,LOSO_038
R090,LOSO_039
R091,LOSO_040
R094,LOSO_041
R095,LOSO_042
R096,LOSO_043
R097,LOSO_044
R099,LOSO_045
R103,LOSO_046
