arm,metric,role,value
A_raw,selector_coverage,hr,1.0
A_raw,selected_lt_0_20_rate,hr,0.0
A_raw,selected_lt_0_30_rate,hr,0.361194
A_raw,selected_bin_mode,hr,8
A_raw,selected_channel_mode,hr,3
A_raw,selector_coverage,br,1.0
A_raw,selected_lt_0_20_rate,br,0.0
A_raw,selected_lt_0_30_rate,br,0.071642
A_raw,selected_bin_mode,br,9
A_raw,selected_channel_mode,br,4
B_complex_mean_subtracted,selector_coverage,hr,1.0
B_complex_mean_subtracted,selected_lt_0_20_rate,hr,0.0
B_complex_mean_subtracted,selected_lt_0_30_rate,hr,0.241791
B_complex_mean_subtracted,selected_bin_mode,hr,8
B_complex_mean_subtracted,selected_channel_mode,hr,7
B_complex_mean_subtracted,selector_coverage,br,1.0
B_complex_mean_subtracted,selected_lt_0_20_rate,br,0.0
B_complex_mean_subtracted,selected_lt_0_30_rate,br,0.074627
B_complex_mean_subtracted,selected_bin_mode,br,247
B_complex_mean_subtracted,selected_channel_mode,br,7
