method,fixed_control_n,valid_n,coverage_pct_of_fixed_control,mae_bpm,median_ae_bpm,bias_estimator_minus_ecg_bpm,rmse_bpm,pearson_r,spearman_r
fixed_target_periodogram,323,323,100.0,24.902438,27.845288,-24.486501,27.631021,0.030511,-0.04742
existing_selector_previous_anchor,323,323,100.0,13.276285,10.973602,-11.116721,17.932967,0.27884,0.298823
existing_selector_fused_previous_anchor,323,323,100.0,8.319342,5.452551,-6.37544,11.860381,0.339409,0.392512
existing_selector_no_anchor,323,323,100.0,18.232337,18.219972,-16.918273,22.444866,0.078384,0.049682
existing_selector_fused_no_anchor,323,323,100.0,9.788476,8.151058,-8.843913,13.111781,0.148023,0.18176
old_targeted_current_block_local,323,323,100.0,26.161212,29.346016,-25.305853,28.510602,-0.080761,-0.086726
old_targeted_historical_gate,323,287,88.854489,21.206219,23.132235,-19.266797,24.596133,-0.058176,-0.075853
old_targeted_historical_fixed_target,323,323,100.0,19.427297,20.487843,-16.541596,21.980299,0.158251,0.144582
current_independent_estimator_audit,323,323,100.0,26.847999,29.213904,-26.400763,28.752526,-0.056585,-0.02894
current_block_local_estimator_audit,323,323,100.0,26.161212,29.346016,-25.305853,28.510602,-0.080761,-0.086726
historical_full_chain_20s_adaptation,323,323,100.0,13.916131,12.518072,-10.552295,16.87323,0.097455,0.091445
