exact,n_rows,nearby,not_evaluable,not_recovered,path,scope
22,325,21,2,280,fixed_path_recovery_label,ECG_VALID_PRIMARY_325
73,325,60,2,190,selector_recovery_label,ECG_VALID_PRIMARY_325
81,325,95,2,147,selector_fused_recovery_label,ECG_VALID_PRIMARY_325
55,325,33,2,235,no_anchor_selector_recovery_label,ECG_VALID_PRIMARY_325
63,325,81,2,179,no_anchor_selector_fused_recovery_label,ECG_VALID_PRIMARY_325
22,323,21,0,280,fixed_path_recovery_label,ECG_VALID_EVALUABLE_323
73,323,60,0,190,selector_recovery_label,ECG_VALID_EVALUABLE_323
81,323,95,0,147,selector_fused_recovery_label,ECG_VALID_EVALUABLE_323
55,323,33,0,235,no_anchor_selector_recovery_label,ECG_VALID_EVALUABLE_323
63,323,81,0,179,no_anchor_selector_fused_recovery_label,ECG_VALID_EVALUABLE_323
0,102,1,0,101,fixed_path_recovery_label,WRONG_SELECTION
37,102,10,0,55,selector_recovery_label,WRONG_SELECTION
30,102,31,0,41,selector_fused_recovery_label,WRONG_SELECTION
23,102,5,0,74,no_anchor_selector_recovery_label,WRONG_SELECTION
19,102,30,0,53,no_anchor_selector_fused_recovery_label,WRONG_SELECTION
0,182,20,0,162,fixed_path_recovery_label,NEARBY_TARGET_BIN_CHANNEL
17,182,45,0,120,selector_recovery_label,NEARBY_TARGET_BIN_CHANNEL
32,182,55,0,95,selector_fused_recovery_label,NEARBY_TARGET_BIN_CHANNEL
13,182,24,0,145,no_anchor_selector_recovery_label,NEARBY_TARGET_BIN_CHANNEL
25,182,44,0,113,no_anchor_selector_fused_recovery_label,NEARBY_TARGET_BIN_CHANNEL
