metric,value,source,decision
paired_ecg_valid_windows,283,MMWAVE_WINDOW_LENGTH_COMPARISON_REPORT_2026-08-30.md,diagnostic_only
20s_mae_bpm,14.703129,MMWAVE_WINDOW_LENGTH_COMPARISON_REPORT_2026-08-30.md,retain_historical_diagnostic
60s_mae_bpm,5.608574,MMWAVE_WINDOW_LENGTH_COMPARISON_REPORT_2026-08-30.md,retain_historical_diagnostic
60s_minus_20s_mae_bpm,-9.094555,derived_from_existing_report,not_window_only_evidence
wrong_selection_n,102,MMWAVE_SELECTOR_PATH_RECONCILIATION_SUMMARY.csv,frozen_#27_denominator
wrong_selection_sequential_selector_exact_recovered,37,MMWAVE_SELECTOR_PATH_RECONCILIATION_SUMMARY.csv,selector_path_effect_observed
wrong_selection_sequential_selector_nearby_recovered,10,MMWAVE_SELECTOR_PATH_RECONCILIATION_SUMMARY.csv,selector_path_effect_observed
nearby_target_bin_channel_n,182,MMWAVE_SELECTOR_PATH_RECONCILIATION_SUMMARY.csv,frozen_#27_denominator
nearby_sequential_selector_exact_recovered,17,MMWAVE_SELECTOR_PATH_RECONCILIATION_SUMMARY.csv,selector_path_effect_observed
nearby_sequential_selector_nearby_recovered,45,MMWAVE_SELECTOR_PATH_RECONCILIATION_SUMMARY.csv,selector_path_effect_observed
window_promotion,WAIT_ON_SELECTOR_VALIDITY,selector_path_and_window_contract_reconciliation,do_not_promote_60s
