distance_band,failure_class,n,share_of_band_pct,fused_bias_bpm,fused_mae_bpm,time_bias_bpm,time_mae_bpm,spectral_bias_bpm,ecg_hr_median_bpm,sessions_present
LT0.5M,CORRECT_OR_NEAR_CORRECT,21,40.385,-0.171713,1.783949,0.471354,3.041139,-2.299773,86.237873,9779|97793|97794|97795|97796
LT0.5M,SELECTED_TARGET_WRONG_PEAK,13,25.000,-10.192568,12.298128,-7.982983,9.906175,-18.953997,85.227273,9779|97793|97794|97795|97796
LT0.5M,HARMONIC_OR_HALF_DOUBLE_LOCK,11,21.154,-20.492813,20.492813,-18.084596,18.084596,-28.601129,85.775554,9779|97793|97794|97795
LT0.5M,TARGET_BIN_CHANNEL_MISS,7,13.462,-12.466657,12.466657,-7.967627,9.409129,-17.512756,88.823094,97794|97795|97796
0.5_TO_1.5M,CORRECT_OR_NEAR_CORRECT,13,54.167,0.608778,1.118679,-0.183797,2.749930,-3.026859,82.815735,9779|97793|97794|97795|97796
0.5_TO_1.5M,SELECTED_TARGET_WRONG_PEAK,2,8.333,-4.601808,15.747124,-2.729850,10.305608,-4.892051,79.690635,97793|97794
0.5_TO_1.5M,HARMONIC_OR_HALF_DOUBLE_LOCK,3,12.500,-13.048389,13.048389,-4.786820,10.735267,-18.867679,81.716037,97793|97794
0.5_TO_1.5M,TARGET_BIN_CHANNEL_MISS,6,25.000,-15.779484,15.779484,-4.361367,7.482868,-19.174535,85.569426,97793|97794|97795|97796
GT1.5M,CORRECT_OR_NEAR_CORRECT,5,20.833,0.819053,1.602387,-0.124599,2.754541,1.049519,87.655223,9779|97793|97796
GT1.5M,SELECTED_TARGET_WRONG_PEAK,12,50.000,-15.674217,17.700328,-12.614798,14.185195,-19.356423,86.966797,9779|97793|97794|97795|97796
GT1.5M,HARMONIC_OR_HALF_DOUBLE_LOCK,4,16.667,-21.013879,21.013879,-19.811564,19.811564,-25.523999,86.942374,9779|97794|97795|97796
GT1.5M,TARGET_BIN_CHANNEL_MISS,3,12.500,-17.117085,17.117085,-15.184436,15.184436,-17.764365,87.145969,97793|97795|97796
