subject,distance_band,n,fused_bias_bpm,fused_mae_bpm,time_bias_bpm,time_mae_bpm,spectral_bias_bpm,spectral_mae_bpm,mean_fusion_penalty_vs_time_bpm,ecg_hr_median_bpm
9779,LT0.5M,11,-7.546668,8.601452,-6.754758,7.812149,-12.059476,13.531931,0.789303,86.237873
9779,0.5_TO_1.5M,4,0.980999,1.058119,0.377622,2.173469,1.361805,1.361805,-1.115350,87.939904
9779,GT1.5M,5,-7.426486,8.338390,-2.862954,5.492896,-11.153002,11.466890,2.845494,86.736538
97793,LT0.5M,11,-4.331857,5.146154,-3.415091,7.137016,-16.090910,16.723208,-1.990862,81.218274
97793,0.5_TO_1.5M,5,-9.804696,11.461011,-4.871776,6.528091,-15.986481,16.423401,4.932920,83.623693
97793,GT1.5M,4,-12.301104,14.188024,-9.939157,9.939157,-13.046731,16.070402,4.248867,84.329549
97794,LT0.5M,8,-5.460690,7.757470,-1.322223,5.833146,-9.936223,11.756445,1.924325,77.859129
97794,0.5_TO_1.5M,10,-4.949970,7.456486,0.708938,5.379159,-8.477660,11.396360,2.077327,78.428525
97794,GT1.5M,2,-3.395781,10.024594,-2.562675,9.848089,-3.658158,10.050619,0.176506,76.991899
97795,LT0.5M,13,-17.002674,18.246937,-13.029578,14.089212,-19.809103,22.984902,4.157724,90.429540
97795,0.5_TO_1.5M,2,-11.292223,12.544830,-6.919071,9.778413,-13.206015,13.478629,2.766417,91.575156
97795,GT1.5M,5,-21.232975,23.444116,-21.399303,22.254090,-21.043715,24.057966,1.190026,90.840273
97796,LT0.5M,9,-5.934761,6.614724,-6.305960,7.019213,-9.470727,10.862987,-0.404488,89.418778
97796,0.5_TO_1.5M,3,-5.975980,6.222365,-6.260189,6.260189,-11.703234,12.176922,-0.037824,86.393089
97796,GT1.5M,8,-15.013604,15.013604,-13.825859,13.825859,-20.241469,20.241469,1.187745,88.041275
ALL_SESSIONS,LT0.5M,52,-8.630710,9.808195,-6.703544,8.796897,-14.074979,15.835167,1.011297,86.253372
ALL_SESSIONS,0.5_TO_1.5M,24,-5.629649,7.494131,-2.015738,5.560971,-9.199313,11.042327,1.933160,83.219714
ALL_SESSIONS,GT1.5M,24,-13.308421,14.825944,-11.533339,12.866442,-15.934107,17.664120,1.959502,87.400596
