scope,ecg_hr_band,n,ecg_hr_median_bpm,fused_bias_bpm,fused_mae_bpm,time_bias_bpm,time_mae_bpm,spectral_bias_bpm,spectral_mae_bpm,mean_fusion_penalty_vs_time_bpm,distance_median_m,session_distribution
POOLED,LT75,5,72.332731,-2.638625,5.802445,-1.523720,6.226296,-8.275430,11.023200,-0.423851,0.4810,97794:5
POOLED,75_TO_90,75,84.596405,-9.261042,10.494039,-6.673072,9.009109,-14.759561,15.974590,1.484930,0.4440,9779:18|97793:20|97794:15|97795:8|97796:14
POOLED,GT90,20,92.024540,-9.776964,11.482138,-8.283156,9.644096,-9.337839,12.958657,1.838042,0.4070,9779:2|97795:12|97796:6
SESSION_9779,LT75,0,,,,,,,,,,
SESSION_9779,75_TO_90,18,86.253372,-6.542724,7.721842,-4.753839,6.505753,-10.355549,11.566947,1.216090,0.4070,9779:18
SESSION_9779,GT90,2,91.761412,0.773622,0.773622,-0.768765,2.494225,1.713930,1.713930,-1.720604,0.4995,9779:2
SESSION_97793,LT75,0,,,,,,,,,,
SESSION_97793,75_TO_90,20,82.474704,-7.293916,8.533242,-5.084075,7.545213,-15.455967,16.517695,0.988029,0.3885,97793:20
SESSION_97793,GT90,0,,,,,,,,,,
SESSION_97794,LT75,5,72.332731,-2.638625,5.802445,-1.523720,6.226296,-8.275430,11.023200,-0.423851,0.4810,97794:5
SESSION_97794,75_TO_90,15,79.077430,-5.785577,8.510772,-0.066344,5.934763,-8.680370,11.533360,2.576009,0.7400,97794:15
SESSION_97794,GT90,0,,,,,,,,,,
SESSION_97795,LT75,0,,,,,,,,,,
SESSION_97795,75_TO_90,8,88.267853,-23.463763,23.463763,-20.294859,20.294859,-29.067293,29.067293,3.168905,0.2960,97795:8
SESSION_97795,GT90,12,92.307747,-13.506164,15.984193,-10.655025,12.635681,-13.050884,17.792705,3.348512,0.3885,97795:12
SESSION_97796,LT75,0,,,,,,,,,,
SESSION_97796,75_TO_90,14,87.687822,-11.174076,11.573089,-10.705413,11.163933,-17.764569,18.142613,0.409157,0.6845,97796:14
SESSION_97796,GT90,6,91.778216,-5.835427,6.047533,-6.044216,6.044216,-5.595671,7.038803,0.003317,0.5920,97796:6
