qc_field,scope,n,spearman_vs_signed_error_fused,spearman_vs_absolute_error_fused,spearman_vs_fusion_penalty_vs_time,direction_consistent_across_sessions,per_session_directions,note
hr_usable_ratio,POOLED,100,UNDEFINED,UNDEFINED,UNDEFINED,CONSTANT_NO_VARIANCE,CONSTANT_NO_VARIANCE,该字段在本轮 100 个探针中恒为 1.0，无判别力；既有 QC 字段因此无法解释任何 probe 间低估差异（不是缺失，而是常量）。
phase_stability,POOLED,100,0.324236,-0.339946,-0.086763,NO,9779:+(0.402)|97793:-(-0.385)|97794:+(0.484)|97795:+(0.224)|97796:+(0.614),DESCRIPTIVE_ONLY / CLUSTERED_NONINDEPENDENT
phase_stability,SESSION_9779,20,0.401504,-0.228571,0.021084,,,DESCRIPTIVE_ONLY / CLUSTERED_NONINDEPENDENT
phase_stability,SESSION_97793,20,-0.384962,0.227068,0.319582,,,DESCRIPTIVE_ONLY / CLUSTERED_NONINDEPENDENT
phase_stability,SESSION_97794,20,0.484211,-0.178947,-0.086038,,,DESCRIPTIVE_ONLY / CLUSTERED_NONINDEPENDENT
phase_stability,SESSION_97795,20,0.224060,-0.266165,0.332832,,,DESCRIPTIVE_ONLY / CLUSTERED_NONINDEPENDENT
phase_stability,SESSION_97796,20,0.613534,-0.631579,-0.654564,,,DESCRIPTIVE_ONLY / CLUSTERED_NONINDEPENDENT
motion_proxy,POOLED,100,0.265935,-0.326049,-0.203653,NO,9779:+(0.483)|97793:-(-0.251)|97794:-(-0.027)|97795:+(0.310)|97796:+(0.411),DESCRIPTIVE_ONLY / CLUSTERED_NONINDEPENDENT
motion_proxy,SESSION_9779,20,0.482707,-0.544361,-0.496989,,,DESCRIPTIVE_ONLY / CLUSTERED_NONINDEPENDENT
motion_proxy,SESSION_97793,20,-0.251128,0.055639,0.142890,,,DESCRIPTIVE_ONLY / CLUSTERED_NONINDEPENDENT
motion_proxy,SESSION_97794,20,-0.027068,-0.051128,-0.080001,,,DESCRIPTIVE_ONLY / CLUSTERED_NONINDEPENDENT
motion_proxy,SESSION_97795,20,0.309774,-0.269173,-0.079819,,,DESCRIPTIVE_ONLY / CLUSTERED_NONINDEPENDENT
motion_proxy,SESSION_97796,20,0.410526,-0.458647,-0.283341,,,DESCRIPTIVE_ONLY / CLUSTERED_NONINDEPENDENT
mmwave_frames,POOLED,100,-0.007829,-0.056296,-0.070840,NO,9779:-(-0.283)|97793:+(0.142)|97794:+(0.249)|97795:-(-0.035)|97796:-(-0.052),DESCRIPTIVE_ONLY / CLUSTERED_NONINDEPENDENT
mmwave_frames,SESSION_9779,20,-0.283197,-0.212398,-0.248171,,,DESCRIPTIVE_ONLY / CLUSTERED_NONINDEPENDENT
mmwave_frames,SESSION_97793,20,0.141598,-0.159298,-0.144677,,,DESCRIPTIVE_ONLY / CLUSTERED_NONINDEPENDENT
mmwave_frames,SESSION_97794,20,0.249311,-0.439724,-0.411420,,,DESCRIPTIVE_ONLY / CLUSTERED_NONINDEPENDENT
mmwave_frames,SESSION_97795,20,-0.035400,0.176998,0.336803,,,DESCRIPTIVE_ONLY / CLUSTERED_NONINDEPENDENT
mmwave_frames,SESSION_97796,20,-0.052342,0.052342,0.085262,,,DESCRIPTIVE_ONLY / CLUSTERED_NONINDEPENDENT
ecg_valid_ratio,POOLED,0,,,,NOT_AVAILABLE,NOT_AVAILABLE,字段未进入本轮合并表；不补算。
rsp_valid_ratio,POOLED,0,,,,NOT_AVAILABLE,NOT_AVAILABLE,字段未进入本轮合并表；不补算。
