roc_auc,pr_auc,balanced_accuracy,bootstrap_valid,roc_auc_ci95_low,roc_auc_ci95_high,pr_auc_ci95_low,pr_auc_ci95_high,balanced_accuracy_ci95_low,balanced_accuracy_ci95_high,window_s,feature_set,n_probe,n_participant,positive_n,coverage
0.6276521237589091,0.33442294272957523,0.599925843529848,5000,0.5788228522878992,0.6818844043360234,0.23925210232255176,0.475378069260156,0.5558618290960404,0.6528093434343434,10,C+B,354,22,93,1.0
0.6063939356486632,0.3154608141787596,0.5653812878506983,5000,0.5396555914918406,0.6852175891351332,0.2225126536897496,0.44235429507837454,0.4899002402424602,0.6408670741023681,10,C+B+W_absolute,354,22,93,1.0
0.5713344044823467,0.34266670243902053,0.5592015820046965,5000,0.4481661241571727,0.685211707382741,0.23565695884210427,0.4599291861062687,0.4822470765548737,0.6319965644820296,10,C+B+W_within,354,22,93,1.0
0.529559592963375,0.2817792658242235,0.513966135211964,5000,0.4617881715667071,0.5907761347137693,0.18616325204519843,0.40113650112597954,0.4558880150740637,0.5675402361475763,10,W_absolute,354,22,93,1.0
0.4925637539653113,0.28705778308655927,0.4832529971573353,5000,0.3753404091968463,0.617101081438494,0.1854345872203177,0.41399530606677504,0.39457902912764714,0.5756261611266108,10,W_within,354,22,93,1.0
0.6697928923995822,0.38914920733687813,0.636895677264766,5000,0.6062214089722207,0.7363993603561109,0.2923156415809144,0.5055805523207691,0.5916641751701804,0.6846002417055642,30,C+B,1180,42,289,1.0
0.6314082773136983,0.34582123756902694,0.6064547823486692,5000,0.572844361303741,0.6923690560467645,0.25373223935461886,0.45513788176901954,0.5604658967208597,0.6562057648323394,30,C+B+W_absolute,1180,42,289,1.0
0.6402587971215422,0.39659459303995537,0.6076237189270638,5000,0.5677101099000734,0.7193827334658665,0.28815875228637206,0.497841808337595,0.5517325503763776,0.6703644443831682,30,C+B+W_within,1180,42,289,1.0
0.5104913028788461,0.24896299578430822,0.5129320890566565,5000,0.43608353136727246,0.5845771229336104,0.16553456089112084,0.34734065300160216,0.4524015675507805,0.5713700759626344,30,W_absolute,1180,42,289,1.0
0.5145495710662954,0.2963780601157301,0.5090505205845459,5000,0.4398247483958544,0.5875520771481726,0.1988080521978762,0.3935670534683053,0.45668229566810287,0.5609745757932895,30,W_within,1180,42,289,1.0
0.7193729084824677,0.47742460470717074,0.6749842378388864,5000,0.597319078657813,0.819395644474103,0.3242293284030554,0.6161119959272052,0.5854672068943761,0.7583852808364724,60,C+B,680,26,158,1.0
0.6736383917745767,0.4244055993791608,0.640174111256608,5000,0.5561707570768671,0.7760671079819431,0.2873464774692857,0.5558219719904848,0.5556484454378557,0.7151673658829131,60,C+B+W_absolute,680,26,158,1.0
0.638440273534119,0.3028828991675345,0.6412532130559193,5000,0.5357210055635938,0.7341329442709312,0.1678151191656246,0.4782774254679695,0.5427310166855204,0.7325724050762239,60,C+B+W_within,680,26,158,1.0
0.5256559483971095,0.2833372353157453,0.5547674474998787,5000,0.4154954952556833,0.6308925381527922,0.167109636246397,0.42081567076340215,0.47405510490305897,0.6335731520277484,60,W_absolute,680,26,158,1.0
0.5496993064649109,0.23924419013207487,0.5665405693777584,5000,0.4681336495935888,0.6267338572372873,0.13244447734067338,0.382504606188422,0.49252925614690324,0.6417840502148306,60,W_within,680,26,158,1.0
