feature_set,feature,source,hrv_core
M0_context_only,block_num,existing 30 s M1/Q0 matrix,False
M0_context_only,block_probe_fraction,existing 30 s M1/Q0 matrix,False
M0_context_only,onset_rel_s,existing 30 s M1/Q0 matrix,False
M1_behavior_only,block_num,existing 30 s M1/Q0 matrix,False
M1_behavior_only,block_probe_fraction,existing 30 s M1/Q0 matrix,False
M1_behavior_only,onset_rel_s,existing 30 s M1/Q0 matrix,False
M1_behavior_only,prior_rt_mean,existing 30 s M1/Q0 matrix,False
M1_behavior_only,prior_n_err,existing 30 s M1/Q0 matrix,False
M2_mmwave_basic,block_num,existing 30 s M1/Q0 matrix,False
M2_mmwave_basic,block_probe_fraction,existing 30 s M1/Q0 matrix,False
M2_mmwave_basic,onset_rel_s,existing 30 s M1/Q0 matrix,False
M2_mmwave_basic,hr_bpm,existing 30 s M1/Q0 matrix,False
M2_mmwave_basic,br_bpm,existing 30 s M1/Q0 matrix,False
M2_mmwave_basic,q_extraction_ok,existing 30 s M1/Q0 matrix,False
M2_mmwave_basic,q_frame_gap_fraction,existing 30 s M1/Q0 matrix,False
M2_mmwave_basic,q_target_power_snr_db,existing 30 s M1/Q0 matrix,False
M3_mmwave_extended,block_num,existing 30 s M1/Q0 matrix,False
M3_mmwave_extended,block_probe_fraction,existing 30 s M1/Q0 matrix,False
M3_mmwave_extended,onset_rel_s,existing 30 s M1/Q0 matrix,False
M3_mmwave_extended,hr_bpm,existing 30 s M1/Q0 matrix,False
M3_mmwave_extended,br_bpm,existing 30 s M1/Q0 matrix,False
M3_mmwave_extended,q_extraction_ok,existing 30 s M1/Q0 matrix,False
M3_mmwave_extended,q_frame_gap_fraction,existing 30 s M1/Q0 matrix,False
M3_mmwave_extended,q_target_power_snr_db,existing 30 s M1/Q0 matrix,False
M3_mmwave_extended,m1_window_duration_s,existing 30 s M1/Q0 matrix,False
M3_mmwave_extended,m1_phase_std_rad,existing 30 s M1/Q0 matrix,False
M3_mmwave_extended,m1_phase_velocity_mad,existing 30 s M1/Q0 matrix,False
M3_mmwave_extended,m1_phase_accel_mad,existing 30 s M1/Q0 matrix,False
M3_mmwave_extended,m1_log_power_low,existing 30 s M1/Q0 matrix,False
M3_mmwave_extended,m1_log_power_transition,existing 30 s M1/Q0 matrix,False
M3_mmwave_extended,m1_log_power_micro,existing 30 s M1/Q0 matrix,False
M3_mmwave_extended,m1_log_power_high,existing 30 s M1/Q0 matrix,False
M3_mmwave_extended,m1_micro_power_fraction,existing 30 s M1/Q0 matrix,False
M3_mmwave_extended,m1_phase_peak_micro_hz,existing 30 s M1/Q0 matrix,False
M3_mmwave_extended,m1_micro_peak_share,existing 30 s M1/Q0 matrix,False
M3_mmwave_extended,m1_micro_spectral_entropy,existing 30 s M1/Q0 matrix,False
M3_mmwave_extended,m1_harmonic_overlap,existing 30 s M1/Q0 matrix,False
M3_mmwave_extended,m1_harmonic_power_fraction,existing 30 s M1/Q0 matrix,False
M3_mmwave_extended,m1_phase_std_cv_10s,existing 30 s M1/Q0 matrix,False
M3_mmwave_extended,m1_micro_power_cv_10s,existing 30 s M1/Q0 matrix,False
M3_mmwave_extended,m1_phase_trend_rad_s,existing 30 s M1/Q0 matrix,False
M3_mmwave_extended,q_target_amplitude_cv,existing 30 s M1/Q0 matrix,False
M3_mmwave_extended,q_phase_jump_fraction,existing 30 s M1/Q0 matrix,False
M3_mmwave_extended,q_frame_gap_duration_fraction,existing 30 s M1/Q0 matrix,False
M3_mmwave_extended,q_frame_rate_hz,existing 30 s M1/Q0 matrix,False
M3_mmwave_extended,q_selection_margin,existing 30 s M1/Q0 matrix,False
M3_mmwave_extended,q_bin_stability_10s,existing 30 s M1/Q0 matrix,False
M4_behavior_plus_mmwave,block_num,existing 30 s M1/Q0 matrix,False
M4_behavior_plus_mmwave,block_probe_fraction,existing 30 s M1/Q0 matrix,False
M4_behavior_plus_mmwave,onset_rel_s,existing 30 s M1/Q0 matrix,False
M4_behavior_plus_mmwave,prior_rt_mean,existing 30 s M1/Q0 matrix,False
M4_behavior_plus_mmwave,prior_n_err,existing 30 s M1/Q0 matrix,False
M4_behavior_plus_mmwave,hr_bpm,existing 30 s M1/Q0 matrix,False
M4_behavior_plus_mmwave,br_bpm,existing 30 s M1/Q0 matrix,False
M4_behavior_plus_mmwave,q_extraction_ok,existing 30 s M1/Q0 matrix,False
M4_behavior_plus_mmwave,q_frame_gap_fraction,existing 30 s M1/Q0 matrix,False
M4_behavior_plus_mmwave,q_target_power_snr_db,existing 30 s M1/Q0 matrix,False
M4_behavior_plus_mmwave,m1_window_duration_s,existing 30 s M1/Q0 matrix,False
M4_behavior_plus_mmwave,m1_phase_std_rad,existing 30 s M1/Q0 matrix,False
M4_behavior_plus_mmwave,m1_phase_velocity_mad,existing 30 s M1/Q0 matrix,False
M4_behavior_plus_mmwave,m1_phase_accel_mad,existing 30 s M1/Q0 matrix,False
M4_behavior_plus_mmwave,m1_log_power_low,existing 30 s M1/Q0 matrix,False
M4_behavior_plus_mmwave,m1_log_power_transition,existing 30 s M1/Q0 matrix,False
M4_behavior_plus_mmwave,m1_log_power_micro,existing 30 s M1/Q0 matrix,False
M4_behavior_plus_mmwave,m1_log_power_high,existing 30 s M1/Q0 matrix,False
M4_behavior_plus_mmwave,m1_micro_power_fraction,existing 30 s M1/Q0 matrix,False
M4_behavior_plus_mmwave,m1_phase_peak_micro_hz,existing 30 s M1/Q0 matrix,False
M4_behavior_plus_mmwave,m1_micro_peak_share,existing 30 s M1/Q0 matrix,False
M4_behavior_plus_mmwave,m1_micro_spectral_entropy,existing 30 s M1/Q0 matrix,False
M4_behavior_plus_mmwave,m1_harmonic_overlap,existing 30 s M1/Q0 matrix,False
M4_behavior_plus_mmwave,m1_harmonic_power_fraction,existing 30 s M1/Q0 matrix,False
M4_behavior_plus_mmwave,m1_phase_std_cv_10s,existing 30 s M1/Q0 matrix,False
M4_behavior_plus_mmwave,m1_micro_power_cv_10s,existing 30 s M1/Q0 matrix,False
M4_behavior_plus_mmwave,m1_phase_trend_rad_s,existing 30 s M1/Q0 matrix,False
M4_behavior_plus_mmwave,q_target_amplitude_cv,existing 30 s M1/Q0 matrix,False
M4_behavior_plus_mmwave,q_phase_jump_fraction,existing 30 s M1/Q0 matrix,False
M4_behavior_plus_mmwave,q_frame_gap_duration_fraction,existing 30 s M1/Q0 matrix,False
M4_behavior_plus_mmwave,q_frame_rate_hz,existing 30 s M1/Q0 matrix,False
M4_behavior_plus_mmwave,q_selection_margin,existing 30 s M1/Q0 matrix,False
M4_behavior_plus_mmwave,q_bin_stability_10s,existing 30 s M1/Q0 matrix,False
