feature_set,model,n,positive_n,positive_rate,pr_auc,roc_auc,balanced_accuracy,f1,recall,specificity,precision,mcc,brier,tn,fp,fn,tp,n_features
M0_context_only,dummy_prevalence,1317,343,0.2604403948367502,0.2514950251006072,0.4821376189079327,0.5,0.0,0.0,1.0,0.0,0.0,0.19270392843324843,974,0,343,0,3
M0_context_only,logistic_l2,1317,343,0.2604403948367502,0.4211497063591191,0.6421477361845296,0.6139899785082704,0.44779582366589327,0.5626822157434402,0.6652977412731006,0.371868978805395,0.2047566810260165,0.23056934130324774,648,326,150,193,3
M0_context_only,hist_gradient_boosting,1317,343,0.2604403948367502,0.36599119759154264,0.6085781335121317,0.5251495141911268,0.1282051282051282,0.0728862973760933,0.9774127310061602,0.5319148936170213,0.11899681705130977,0.18716485720770537,952,22,318,25,3
M1_behavior_only,dummy_prevalence,1317,343,0.2604403948367502,0.2514950251006072,0.4821376189079327,0.5,0.0,0.0,1.0,0.0,0.0,0.19270392843324843,974,0,343,0,5
M1_behavior_only,logistic_l2,1317,343,0.2604403948367502,0.44031957018705553,0.679566693207057,0.6410716530672111,0.4797219003476246,0.6034985422740525,0.6786447638603696,0.39807692307692305,0.2533176538153153,0.22221283262670005,661,313,136,207,5
M1_behavior_only,hist_gradient_boosting,1317,343,0.2604403948367502,0.3660179237813251,0.6278593279494256,0.5196867834842943,0.13942307692307693,0.08454810495626822,0.9548254620123203,0.3972602739726027,0.07551959962258244,0.18739431028260395,930,44,314,29,5
M2_mmwave_basic,dummy_prevalence,1317,343,0.2604403948367502,0.2514950251006072,0.4821376189079327,0.5,0.0,0.0,1.0,0.0,0.0,0.19270392843324843,974,0,343,0,8
M2_mmwave_basic,logistic_l2,1317,343,0.2604403948367502,0.38764575901065124,0.6287857472117624,0.6021006818685233,0.4364454443194601,0.565597667638484,0.6386036960985626,0.3553113553113553,0.181912133020457,0.23527593480014056,622,352,149,194,8
M2_mmwave_basic,hist_gradient_boosting,1317,343,0.2604403948367502,0.34033108817879654,0.5918307481396783,0.5255176872743818,0.15714285714285714,0.09620991253644315,0.9548254620123203,0.42857142857142855,0.09546444228533794,0.19293938974120073,930,44,310,33,8
M3_mmwave_extended,dummy_prevalence,1317,343,0.2604403948367502,0.2514950251006072,0.4821376189079327,0.5,0.0,0.0,1.0,0.0,0.0,0.19270392843324843,974,0,343,0,31
M3_mmwave_extended,logistic_l2,1317,343,0.2604403948367502,0.3567628782660486,0.6074167419974736,0.587789824055172,0.4202247191011236,0.5451895043731778,0.6303901437371663,0.34186471663619744,0.15637297078524917,0.24367356491352113,614,360,156,187,31
M3_mmwave_extended,hist_gradient_boosting,1317,343,0.2604403948367502,0.30713104920600776,0.5574320077106818,0.5178174819355726,0.15172413793103448,0.09620991253644315,0.9394250513347022,0.358695652173913,0.06135372045827894,0.19989176735898095,915,59,310,33,31
M4_behavior_plus_mmwave,dummy_prevalence,1317,343,0.2604403948367502,0.2514950251006072,0.4821376189079327,0.5,0.0,0.0,1.0,0.0,0.0,0.19270392843324843,974,0,343,0,33
M4_behavior_plus_mmwave,logistic_l2,1317,343,0.2604403948367502,0.3922161923452967,0.6430187798205232,0.6128181105237636,0.4491620111731844,0.5860058309037901,0.6396303901437371,0.3641304347826087,0.20069432841359247,0.23392714914879165,623,351,142,201,33
M4_behavior_plus_mmwave,hist_gradient_boosting,1317,343,0.2604403948367502,0.32753064014573585,0.5845271520165708,0.5265638376207039,0.17687074829931973,0.11370262390670553,0.9394250513347022,0.3979591836734694,0.08884489128872802,0.19635427301937264,915,59,304,39,33
