feature_set,feature,family
C+B,block_num,context
C+B,block_probe_fraction,context
C+B,onset_rel_s,context
C+B,b_trial_count,behavior
C+B,b_rt_mean,behavior
C+B,b_rt_median,behavior
C+B,b_rt_sd,behavior
C+B,b_rt_mad,behavior
C+B,b_rt_cv,behavior
C+B,b_rt_slope,behavior
C+B,b_accuracy,behavior
C+B,b_error_count,behavior
C+B,b_error_rate,behavior
C+B,b_omission_count,behavior
C+B,b_omission_rate,behavior
NIR_dynamic,nir_ratio_median,formal_NIR_fullclass_ROI
NIR_dynamic,nir_ratio_iqr,formal_NIR_fullclass_ROI
NIR_dynamic,nir_ratio_slope_per_s,formal_NIR_fullclass_ROI
NIR_dynamic,nir_aperture_median,formal_NIR_fullclass_ROI
NIR_dynamic,nir_confidence_median,formal_NIR_fullclass_ROI
NIR_dynamic,nir_ratio_first_last_delta,formal_NIR_fullclass_ROI
