window_s,feature_set,bin,n,mean_prediction,observed_rate
10,B_behavior_only,"(-0.001, 0.1]",0,,
10,B_behavior_only,"(0.1, 0.2]",0,,
10,B_behavior_only,"(0.2, 0.3]",0,,
10,B_behavior_only,"(0.3, 0.4]",59,0.3873019628356572,0.23728813559322035
10,B_behavior_only,"(0.4, 0.5]",993,0.4445446636580792,0.21550855991943604
10,B_behavior_only,"(0.5, 0.6]",75,0.538121612779193,0.29333333333333333
10,B_behavior_only,"(0.6, 0.7]",260,0.6457430512188698,0.4461538461538462
10,B_behavior_only,"(0.7, 0.8]",30,0.750162564207456,0.1
10,B_behavior_only,"(0.8, 0.9]",19,0.8394192273853046,0.3684210526315789
10,B_behavior_only,"(0.9, 1.0]",4,0.9260394529156453,0.0
10,C_context_only,"(-0.001, 0.1]",0,,
10,C_context_only,"(0.1, 0.2]",0,,
10,C_context_only,"(0.2, 0.3]",0,,
10,C_context_only,"(0.3, 0.4]",243,0.3606456715674223,0.18106995884773663
10,C_context_only,"(0.4, 0.5]",526,0.45700476206642804,0.21863117870722434
10,C_context_only,"(0.5, 0.6]",487,0.5421683771418483,0.3059548254620123
10,C_context_only,"(0.6, 0.7]",184,0.6347615282473607,0.3695652173913043
10,C_context_only,"(0.7, 0.8]",0,,
10,C_context_only,"(0.8, 0.9]",0,,
10,C_context_only,"(0.9, 1.0]",0,,
10,C_plus_B,"(-0.001, 0.1]",0,,
10,C_plus_B,"(0.1, 0.2]",0,,
10,C_plus_B,"(0.2, 0.3]",90,0.26764485655210823,0.15555555555555556
10,C_plus_B,"(0.3, 0.4]",343,0.35421083600645864,0.16909620991253643
10,C_plus_B,"(0.4, 0.5]",391,0.45025676477330395,0.20971867007672634
10,C_plus_B,"(0.5, 0.6]",298,0.5473133135863149,0.3288590604026846
10,C_plus_B,"(0.6, 0.7]",218,0.6467345203424167,0.38073394495412843
10,C_plus_B,"(0.7, 0.8]",78,0.7432937039807059,0.47435897435897434
10,C_plus_B,"(0.8, 0.9]",19,0.8370488382793558,0.21052631578947367
10,C_plus_B,"(0.9, 1.0]",3,0.9232372240459735,0.0
20,B_behavior_only,"(-0.001, 0.1]",0,,
20,B_behavior_only,"(0.1, 0.2]",1,0.15401110924471237,0.0
20,B_behavior_only,"(0.2, 0.3]",18,0.27124118539188663,0.3333333333333333
20,B_behavior_only,"(0.3, 0.4]",453,0.36548613140575825,0.17218543046357615
20,B_behavior_only,"(0.4, 0.5]",336,0.43035878722682214,0.18452380952380953
20,B_behavior_only,"(0.5, 0.6]",413,0.5536771745563732,0.3220338983050847
20,B_behavior_only,"(0.6, 0.7]",90,0.6585948989656136,0.4777777777777778
20,B_behavior_only,"(0.7, 0.8]",97,0.7300536083616631,0.4845360824742268
20,B_behavior_only,"(0.8, 0.9]",20,0.8372976068784235,0.2
20,B_behavior_only,"(0.9, 1.0]",12,0.9446490788428569,0.25
20,C_context_only,"(-0.001, 0.1]",0,,
20,C_context_only,"(0.1, 0.2]",0,,
20,C_context_only,"(0.2, 0.3]",0,,
20,C_context_only,"(0.3, 0.4]",243,0.3606456715674223,0.18106995884773663
20,C_context_only,"(0.4, 0.5]",526,0.45700476206642804,0.21863117870722434
20,C_context_only,"(0.5, 0.6]",487,0.5421683771418483,0.3059548254620123
20,C_context_only,"(0.6, 0.7]",184,0.6347615282473607,0.3695652173913043
20,C_context_only,"(0.7, 0.8]",0,,
20,C_context_only,"(0.8, 0.9]",0,,
20,C_context_only,"(0.9, 1.0]",0,,
20,C_plus_B,"(-0.001, 0.1]",0,,
20,C_plus_B,"(0.1, 0.2]",10,0.17950150267987858,0.3
20,C_plus_B,"(0.2, 0.3]",174,0.2613456705439477,0.09770114942528736
20,C_plus_B,"(0.3, 0.4]",317,0.35093607609026845,0.14511041009463724
20,C_plus_B,"(0.4, 0.5]",338,0.4476615743616782,0.2603550295857988
20,C_plus_B,"(0.5, 0.6]",284,0.5471288436051802,0.2887323943661972
20,C_plus_B,"(0.6, 0.7]",162,0.6475275868806977,0.42592592592592593
20,C_plus_B,"(0.7, 0.8]",107,0.7382790493750115,0.4672897196261682
20,C_plus_B,"(0.8, 0.9]",40,0.833935400036156,0.475
20,C_plus_B,"(0.9, 1.0]",8,0.9504545090573278,0.25
30,B_behavior_only,"(-0.001, 0.1]",0,,
30,B_behavior_only,"(0.1, 0.2]",1,0.1870660328630312,0.0
30,B_behavior_only,"(0.2, 0.3]",40,0.27529977492772506,0.225
30,B_behavior_only,"(0.3, 0.4]",497,0.35735145404351193,0.14688128772635814
30,B_behavior_only,"(0.4, 0.5]",294,0.45476288169364815,0.21768707482993196
30,B_behavior_only,"(0.5, 0.6]",306,0.5316063488526798,0.3006535947712418
30,B_behavior_only,"(0.6, 0.7]",197,0.6512229813965439,0.5025380710659898
30,B_behavior_only,"(0.7, 0.8]",61,0.7584924870280436,0.4262295081967213
30,B_behavior_only,"(0.8, 0.9]",26,0.8413505536571635,0.19230769230769232
30,B_behavior_only,"(0.9, 1.0]",18,0.9520720341975806,0.4444444444444444
30,C_context_only,"(-0.001, 0.1]",0,,
30,C_context_only,"(0.1, 0.2]",0,,
30,C_context_only,"(0.2, 0.3]",0,,
30,C_context_only,"(0.3, 0.4]",243,0.3606456715674223,0.18106995884773663
