feature_set,feature,family,window_role
C_context_only,block_num,context,fixed
C_context_only,block_probe_fraction,context,fixed
C_context_only,onset_rel_s,context,fixed
B_behavior_only,b_trial_count,behavior,fixed
B_behavior_only,b_rt_mean,behavior,fixed
B_behavior_only,b_rt_median,behavior,fixed
B_behavior_only,b_rt_sd,behavior,fixed
B_behavior_only,b_rt_mad,behavior,fixed
B_behavior_only,b_rt_cv,behavior,fixed
B_behavior_only,b_rt_slope,behavior,fixed
B_behavior_only,b_accuracy,behavior,fixed
B_behavior_only,b_error_count,behavior,fixed
B_behavior_only,b_error_rate,behavior,fixed
B_behavior_only,b_omission_count,behavior,fixed
B_behavior_only,b_omission_rate,behavior,fixed
C_plus_B,block_num,context,fixed
C_plus_B,block_probe_fraction,context,fixed
C_plus_B,onset_rel_s,context,fixed
C_plus_B,b_trial_count,behavior,fixed
C_plus_B,b_rt_mean,behavior,fixed
C_plus_B,b_rt_median,behavior,fixed
C_plus_B,b_rt_sd,behavior,fixed
C_plus_B,b_rt_mad,behavior,fixed
C_plus_B,b_rt_cv,behavior,fixed
C_plus_B,b_rt_slope,behavior,fixed
C_plus_B,b_accuracy,behavior,fixed
C_plus_B,b_error_count,behavior,fixed
C_plus_B,b_error_rate,behavior,fixed
C_plus_B,b_omission_count,behavior,fixed
C_plus_B,b_omission_rate,behavior,fixed
