repeat_participant_id,fold,n_probe,n_session
R027,4,40,2
R028,3,40,2
R030,4,20,1
R031,4,40,2
R034,2,20,1
R036,0,40,2
R038,1,40,2
R039,1,20,1
R040,2,20,1
R041,3,20,1
R043,4,20,1
R046,2,40,2
R047,0,40,2
R048,1,40,2
R049,2,40,2
R051,2,20,1
R053,3,40,2
R054,1,20,1
R056,2,20,1
R058,0,20,1
R060,4,20,1
R061,4,60,3
R062,4,20,1
R064,1,20,1
R065,1,20,1
R066,0,20,1
R069,4,40,2
R070,0,60,3
R071,3,60,3
R072,1,40,2
R074,2,20,1
R075,2,20,1
R076,2,20,1
R078,4,20,1
R079,3,20,1
R082,2,40,2
R084,1,60,3
R089,3,40,2
R090,0,20,1
R091,1,40,2
R094,2,20,1
R095,0,20,1
R096,0,20,1
R097,0,20,1
R099,3,40,2
R103,4,20,1
