bin,n,mean_prediction,observed_rate,window_s,feature_set
"(-0.001, 0.1]",0,,,30,B_behavior_only
"(0.1, 0.2]",3,0.14880841968483138,0.3333333333333333,30,B_behavior_only
"(0.2, 0.3]",29,0.271709047096031,0.3103448275862069,30,B_behavior_only
"(0.3, 0.4]",455,0.36017215652610457,0.15824175824175823,30,B_behavior_only
"(0.4, 0.5]",320,0.4464390022183469,0.19375,30,B_behavior_only
"(0.5, 0.6]",306,0.5284150265745694,0.28431372549019607,30,B_behavior_only
"(0.6, 0.7]",190,0.6433136170848726,0.5,30,B_behavior_only
"(0.7, 0.8]",63,0.7448532251370875,0.4126984126984127,30,B_behavior_only
"(0.8, 0.9]",20,0.835666773748405,0.15,30,B_behavior_only
"(0.9, 1.0]",14,0.9503608619325,0.5,30,B_behavior_only
