bin,n,mean_prediction,observed_rate,window_s,feature_set
"(-0.001, 0.1]",0,,,30,C_context_only
"(0.1, 0.2]",0,,,30,C_context_only
"(0.2, 0.3]",0,,,30,C_context_only
"(0.3, 0.4]",232,0.3644752400998931,0.16379310344827586,30,C_context_only
"(0.4, 0.5]",520,0.4563557163297591,0.23076923076923078,30,C_context_only
"(0.5, 0.6]",469,0.5442984493320325,0.2878464818763326,30,C_context_only
"(0.6, 0.7]",179,0.6299888680958156,0.3854748603351955,30,C_context_only
"(0.7, 0.8]",0,,,30,C_context_only
"(0.8, 0.9]",0,,,30,C_context_only
"(0.9, 1.0]",0,,,30,C_context_only
