bin,n,mean_prediction,observed_rate,window_s,feature_set
"(-0.001, 0.1]",1,0.08698025607867195,1.0,30,C_plus_B
"(0.1, 0.2]",11,0.16732884661287972,0.09090909090909091,30,C_plus_B
"(0.2, 0.3]",171,0.26184549592276035,0.12280701754385964,30,C_plus_B
"(0.3, 0.4]",342,0.35273403534217496,0.14327485380116958,30,C_plus_B
"(0.4, 0.5]",307,0.4486564325488978,0.22149837133550487,30,C_plus_B
"(0.5, 0.6]",256,0.5460122349665426,0.34375,30,C_plus_B
"(0.6, 0.7]",170,0.6481347059804524,0.40588235294117647,30,C_plus_B
"(0.7, 0.8]",100,0.7415025187342559,0.47,30,C_plus_B
"(0.8, 0.9]",31,0.8443606250863485,0.45161290322580644,30,C_plus_B
"(0.9, 1.0]",11,0.9480704667962361,0.36363636363636365,30,C_plus_B
