feature,icc_absolute,session_proportion_absolute,status,n_probe,n_session,n_participant,icc_within,session_proportion_within,status_within,delta_icc
m1_harmonic_overlap,0.022318855136806825,0.06958059574495348,ok,1180,59,42,1.753260408043469e-07,0.2900809015334889,ok,-0.02231867981076602
m1_harmonic_power_fraction,0.0055271077044237085,0.030690400267833037,ok,1180,59,42,0.16429004298241537,0.08063098356952252,ok,0.15876293527799165
m1_log_power_high,0.09107334262045863,0.1570437599822837,ok,1180,59,42,0.22479506813093406,0.1328197115688211,ok,0.13372172551047543
m1_log_power_low,0.20232692757624426,0.07769231309029362,ok,1180,59,42,0.096992486010164,0.1994090872066795,ok,-0.10533444156608027
m1_log_power_micro,0.30925162256388145,0.07133438781942784,ok,1180,59,42,0.07832600178210262,0.2039032439467182,ok,-0.2309256207817788
m1_log_power_transition,0.3674329532658418,0.02807704275983397,ok,1180,59,42,0.00011364887333390946,0.1924982232193881,ok,-0.3673193043925079
m1_micro_peak_share,0.16161053297837644,0.06188694503205356,ok,1180,59,42,2.607575681527933e-10,0.2175282700735709,ok,-0.16161053271761888
m1_micro_power_fraction,0.12259867826699045,0.05522497250299668,ok,1180,59,42,0.036259382143309635,0.13823359605912044,ok,-0.08633929612368081
m1_micro_spectral_entropy,0.12946258710724967,0.10605990978683995,ok,1180,59,42,4.2383417127791976e-07,0.3302303051353141,ok,-0.12946216327307838
m1_phase_accel_mad,0.22631151840276942,0.14171918767031225,ok,1180,59,42,0.11039247974503072,0.2587969215856509,ok,-0.1159190386577387
m1_phase_peak_micro_hz,0.06178024345836701,0.026874833969161138,ok,1180,59,42,0.23208965552938268,0.13420551240570353,ok,0.1703094120710157
m1_phase_std_rad,0.06058985004078074,0.10658710681911726,ok,1180,59,42,0.07365388110069415,0.27055938939937624,ok,0.013064031059913411
m1_phase_trend_rad_s,0.017306307147493254,0.026236915165427227,ok,1180,59,42,0.06806767005077914,0.1526024826902712,ok,0.05076136290328589
m1_phase_velocity_mad,0.3637088789624019,0.11301347604662879,ok,1180,59,42,0.7152268513544398,0.03283970873578701,ok,0.35151797239203786
q_frame_gap_duration_fraction,0.028245328435213875,0.35978570180508074,ok,1180,59,42,2.2021325164895032e-07,0.716840692551877,ok,-0.028245108221962228
q_frame_gap_fraction,4.696762662552141e-08,0.2773396978349662,ok,1180,59,42,1.1026933059982402e-05,0.4895882832979421,ok,1.0979965433356881e-05
q_frame_rate_hz,0.0024327574656723117,0.011384081436615965,ok,1180,59,42,0.19574350994818956,0.08100875681682579,ok,0.19331075248251725
q_phase_jump_fraction,0.1357960253866139,0.1683822178496657,ok,1180,59,42,4.0201867083292806e-10,2.709977122254365e-10,ok,-0.13579602498459523
q_selection_margin,0.035483026937790145,9.653207021189014e-11,ok,1180,59,42,0.16214207219404037,0.09179591653073775,ok,0.1266590452562502
q_target_amplitude_cv,0.058103552870214945,0.06773439551714885,ok,1180,59,42,0.01569104907526051,0.3149808178790622,ok,-0.04241250379495443
q_target_power_snr_db,0.04629947381877572,0.31109686080788834,ok,1180,59,42,5.9971057441050227e-05,0.49994043941961475,ok,-0.04623950276133467
