model_family,outcome,term,estimate,se,ci95_low,ci95_high,p_value,n_probe,n_participants,effect_scale,status,effect_size,effect_ci95_low,effect_ci95_high,q_value_bh
participant_clustered_GEE_one_vs_rest,probe_state:fully_task_focused,C(block_num)[T.2],-0.3536501370946066,0.17331297902791792,-0.6933435759893257,-0.01395669819988743,0.04129767868571415,1400,46,log_odds,fit,0.7021205703318761,0.49990181192746974,0.9861402449861175,0.09177261930158699
participant_clustered_GEE_one_vs_rest,probe_state:fully_task_focused,time_on_task,-0.8518624914567909,0.2820645163048599,-1.4047089434143163,-0.2990160394992656,0.0025269287908138293,1400,46,log_odds,fit,0.4266196161538082,0.24543848254462974,0.7415475152887958,0.007219796545182369
participant_clustered_GEE_one_vs_rest,probe_state:fully_task_focused,C(block_num)[T.2]:time_on_task,-0.060239539719318724,0.2801498726844601,-0.6093332901808606,0.4888542107422231,0.8297469552058292,1400,46,log_odds,fit,0.9415389705889364,0.5437132472212609,1.6304470006354654,0.8636924078818841
participant_clustered_GEE_one_vs_rest,probe_state:experiment_related_not_task_focused,C(block_num)[T.2],0.24969165946428418,0.23905518762696157,-0.2188565082845605,0.7182398272131288,0.2962569898336699,1400,46,log_odds,fit,1.2836295606352572,0.8034369964355557,2.050820233878572,0.3950093197782265
participant_clustered_GEE_one_vs_rest,probe_state:experiment_related_not_task_focused,time_on_task,0.5046543523150878,0.3478583381943181,-0.17714799054577568,1.1864566951759512,0.1468503934121396,1400,46,log_odds,fit,1.656412886222321,0.8376558102091819,3.275454687001089,0.20978627630305657
participant_clustered_GEE_one_vs_rest,probe_state:experiment_related_not_task_focused,C(block_num)[T.2]:time_on_task,0.06122969776619783,0.3566588642109675,-0.6378216760872985,0.760281071619694,0.8636924078818841,1400,46,log_odds,fit,1.063143087735464,0.5284422896745435,2.1388773137286337,0.8636924078818841
participant_clustered_GEE_one_vs_rest,probe_state:task_unrelated_thought,C(block_num)[T.2],0.34076498418526957,0.36818046656414694,-0.3808687302804584,1.0623986986509975,0.35468616702617517,1400,46,log_odds,fit,1.4060227644445824,0.6832675760762963,2.8933028338456346,0.44335770878271896
participant_clustered_GEE_one_vs_rest,probe_state:task_unrelated_thought,time_on_task,1.312981455007982,0.5039788841497843,0.32518284207440473,2.300780067941559,0.00918123138622418,1400,46,log_odds,fit,3.717239990993655,1.3842837281514317,9.981966030255123,0.022953078465560446
participant_clustered_GEE_one_vs_rest,probe_state:task_unrelated_thought,C(block_num)[T.2]:time_on_task,-0.1231853333236834,0.6440514848426789,-1.3855262436153342,1.1391555769679673,0.8483169759676353,1400,46,log_odds,fit,0.8840997942228269,0.2501921031455884,3.124129164420541,0.8636924078818841
participant_clustered_GEE_one_vs_rest,probe_state:no_specific_thought,C(block_num)[T.2],0.5147394765649694,0.3406562007201387,-0.15294667684650243,1.1824256299764413,0.13078249963693409,1400,46,log_odds,fit,1.6732025365380911,0.8581754812142778,3.2622776921058043,0.2012038455952832
