analysis,term,estimate,se,ci95_low,ci95_high,p_nominal,effect_size,effect_ci95_low,effect_ci95_high,effect_size_label,model_type,outcome,n_probes,n_participants,n_sessions,random_intercept_variance,p_bh_focal_8
primary_all_sessions,progress,-2.36908626433817,0.1236002912060612,-2.61134283510205,-2.12682969357429,6.9393538073351e-82,0.0935661819873714,0.07343586526578195,0.1192146423278163,OR,random-intercept logistic mixed model (variational Bayes),probe_state: response=1 fully task-focused,1400,46,70,,
primary_all_sessions,session_order,-0.3378243513611719,0.03781720443142426,-0.4119460720467634,-0.26370263067558036,4.1428620348282633e-19,0.7133205706823733,0.6623599948078197,0.7682019453881119,OR,random-intercept logistic mixed model (variational Bayes),probe_state: response=1 fully task-focused,1400,46,70,,3.3142896278626106e-18
primary_all_sessions,progress_x_session,0.4484772723813753,0.062349472032350556,0.3262723071979682,0.5706822375647824,6.340141725015643e-13,1.565925890510425,1.3857926788196802,1.7694738412526558,OR,random-intercept logistic mixed model (variational Bayes),probe_state: response=1 fully task-focused,1400,46,70,,2.536056690006257e-12
primary_all_sessions,progress,0.3083632494743276,0.08153477991302428,0.14855508084479999,0.4681714181038552,0.0001555832388317279,1.36119535263934,1.1601566984256095,1.5970711461316829,OR,random-intercept logistic mixed model (variational Bayes),pre10 error rate (binomial numerator/denominator),1400,46,70,,
primary_all_sessions,session_order,0.14938785684725764,0.022927244809560446,0.10445045702051917,0.1943252566739961,7.233446646451187e-11,1.161123251488387,1.1101003948227375,1.2144912401028805,OR,random-intercept logistic mixed model (variational Bayes),pre10 error rate (binomial numerator/denominator),1400,46,70,,1.9289191057203166e-10
primary_all_sessions,progress_x_session,-0.18537068990932207,0.03970977218509214,-0.2632018433921027,-0.10753953642654147,3.039419759699498e-06,0.8307962589748914,0.7685867474974647,0.8980410164162396,OR,random-intercept logistic mixed model (variational Bayes),pre10 error rate (binomial numerator/denominator),1400,46,70,,6.078839519398996e-06
primary_all_sessions,progress,0.03918000420060114,0.05552613817863004,-0.06965122662951373,0.148011235030716,0.48042839774785806,0.03918000420060114,-0.06965122662951373,0.148011235030716,beta (log-ms),linear mixed model with participant random intercept,pre10 RT median,1395,46,70,0.04143613457037939,
primary_all_sessions,session_order,0.03124203130178006,0.018719328814250005,-0.0054478531741499504,0.06793191577771007,0.0951229750587739,0.03124203130178006,-0.0054478531741499504,0.06793191577771007,beta (log-ms),linear mixed model with participant random intercept,pre10 RT median,1395,46,70,0.04143613457037939,0.15219676009403824
primary_all_sessions,progress_x_session,-0.010262791221874592,0.028022905062638177,-0.06518768514464542,0.04466210270089624,0.7141944512446325,-0.010262791221874592,-0.06518768514464542,0.04466210270089624,beta (log-ms),linear mixed model with participant random intercept,pre10 RT median,1395,46,70,0.04143613457037939,0.7141944512446325
primary_all_sessions,progress,0.06508546924532452,0.15516936899830436,-0.239046493991352,0.369217432482001,0.6748888080639855,0.06508546924532452,-0.239046493991352,0.369217432482001,beta (log-ms),linear mixed model with participant random intercept,pre10 RT variability (SD),1378,46,70,0.0811489612401975,
primary_all_sessions,session_order,-0.07145513017938872,0.05122143439905815,-0.1718491416015427,0.028938881242765252,0.16300860308784437,-0.07145513017938872,-0.1718491416015427,0.028938881242765252,beta (log-ms),linear mixed model with participant random intercept,pre10 RT variability (SD),1378,46,70,0.0811489612401975,0.18629554638610785
primary_all_sessions,progress_x_session,0.11325832965105352,0.07838668515035484,-0.040379573243641956,0.266896232545749,0.1484952649442508,0.11325832965105352,-0.040379573243641956,0.266896232545749,beta (log-ms),linear mixed model with participant random intercept,pre10 RT variability (SD),1378,46,70,0.0811489612401975,0.18629554638610785
