subject,session_status,formal_usable,face_frames_rows,behavior_aligned_rows,probe_aligned_rows,baseline_rows,block1_rows,block2_rows,non_task_context_rows,merge_key,notes
sub-056,skipped_complete,TRUE,21791,1543,22015,2700,8182,8110,16289,479424,subject|session|block|probe|window
sub-057,skipped_complete,TRUE,22164,1319,22169,2701,8107,8041,16146,487608,subject|session|block|probe|window
sub-058,skipped_complete,TRUE,24110,1497,24110,2701,8180,8153,16329,530442,subject|session|block|probe|window
sub-059,complete,TRUE,21982,1677,22007,2701,8252,8250,16498,483615,subject|session|block|probe|window
sub-062,skipped_complete,TRUE,22246,1553,22246,2700,8224,8077,16296,489423,subject|session|block|probe|window
sub-064,complete,TRUE,21478,1321,21510,2701,8003,8120,16120,473121,subject|session|block|probe|window
sub-065,complete,TRUE,24598,2219,24598,2700,8665,8375,17035,541167,subject|session|block|probe|window
sub-067,complete,TRUE,24057,2131,24071,2700,8485,8340,16822,529254,subject|session|block|probe|window
sub-068,complete,TRUE,21820,1544,21820,2700,8173,8124,16292,480051,subject|session|block|probe|window
sub-070,complete,TRUE,25879,3547,25879,2700,9350,9062,18405,569349,subject|session|block|probe|window
sub-071,complete,TRUE,24183,2114,24280,2701,8746,8165,16908,532026,subject|session|block|probe|window
sub-072,complete,TRUE,24292,3177,24292,2701,9174,8848,18018,534435,subject|session|block|probe|window
sub-073,complete,TRUE,22679,2395,22679,2701,8435,8887,17316,498927,subject|session|block|probe|window
sub-074,complete,TRUE,22504,1932,22525,2700,8523,8326,16842,495099,subject|session|block|probe|window
sub-075,complete,TRUE,22673,1889,22673,2701,8132,8511,16639,498795,subject|session|block|probe|window
sub-076,complete,TRUE,21282,1277,21282,2700,7985,8037,16018,468204,subject|session|block|probe|window
sub-077,complete,TRUE,23846,2530,24046,2700,8765,8635,17395,524568,subject|session|block|probe|window
sub-078,complete,TRUE,24251,2189,24276,2700,8592,8535,17120,533544,subject|session|block|probe|window
sub-081,complete,TRUE,22233,1464,22233,2701,8180,8033,16208,489885,subject|session|block|probe|window
sub-082,complete,TRUE,23107,1832,23109,2700,8275,8426,16696,508497,subject|session|block|probe|window
sub-083,complete,TRUE,22282,1885,22287,2701,8336,8298,16630,490215,subject|session|block|probe|window
sub-084,complete,TRUE,23355,2635,23373,2701,8674,8780,17450,513810,subject|session|block|probe|window
sub-085,complete,TRUE,22248,1866,22248,2700,8345,8333,16672,489456,subject|session|block|probe|window
sub-086,complete,TRUE,24643,2353,24803,2700,8525,8669,17190,542322,subject|session|block|probe|window
sub-087,complete,TRUE,22747,1583,22747,2701,8218,8121,16334,500445,subject|session|block|probe|window
sub-088,complete,TRUE,22174,1585,22184,2701,8267,8259,16521,487839,subject|session|block|probe|window
sub-089,complete,TRUE,24532,1770,24546,2701,8301,8371,16667,539715,subject|session|block|probe|window
sub-090,complete,TRUE,26680,2159,26683,2700,8588,8331,16914,586938,subject|session|block|probe|window
sub-091,complete,TRUE,22576,1743,22586,2700,8502,8153,16651,496683,subject|session|block|probe|window
sub-093,complete,TRUE,24461,2591,24485,2700,8638,8850,17482,538164,subject|session|block|probe|window
sub-094,complete,TRUE,24873,2724,24873,2701,9102,8429,17526,547206,subject|session|block|probe|window
sub-095,complete,TRUE,23516,1811,23516,2701,8378,8177,16551,517341,subject|session|block|probe|window
sub-096,complete,TRUE,24411,2802,24423,2701,8993,8774,17759,537141,subject|session|block|probe|window
sub-098,complete,TRUE,22620,1623,22764,2700,8187,8183,16363,497673,subject|session|block|probe|window
sub-100,complete,TRUE,22082,1440,22083,2700,8093,8177,16266,485826,subject|session|block|probe|window
sub-104,complete,TRUE,23779,2036,23783,2701,8447,8347,16790,523149,subject|session|block|probe|window
sub-106,complete,TRUE,21538,1287,21538,2701,8074,7991,16062,473814,subject|session|block|probe|window
sub-107,complete,TRUE,23960,2175,23974,2700,8619,8360,16975,527109,subject|session|block|probe|window
sub-108,complete,TRUE,22245,1725,22245,2700,8274,8333,16600,489390,subject|session|block|probe|window
sub-109,complete,TRUE,21897,1504,21899,2700,8134,8169,16297,481734,subject|session|block|probe|window
sub-110,complete,TRUE,22054,1535,22054,2701,8140,8322,16457,485199,subject|session|block|probe|window
sub-114,complete,TRUE,22478,1933,22478,2700,8414,8357,16766,494505,subject|session|block|probe|window
sub-116,complete,TRUE,23399,2504,23612,2700,9123,8295,17411,519746,subject|session|block|probe|window
sub-117,complete,TRUE,23149,1803,23149,2701,8402,8302,16700,509289,subject|session|block|probe|window
sub-118,complete,TRUE,22333,1480,22339,2700,8190,8039,16226,491535,subject|session|block|probe|window
