subject,session_status,formal_usable,analysis_eligible,face_frames_rows,baseline_rows,baseline_coverage_ms,block1_rows,block1_coverage_ms,block2_rows,block2_coverage_ms,non_task_context_rows,behavior_aligned_rows,probe_aligned_rows,face_raw_rows,motion_raw_rows,pose_landmark_rows,merge_key,notes
sub-056,skipped_complete,TRUE,TRUE,21791,2700,179939,8182,545407,8110,540604,2799,16289,1543,22015,43582,479424,subject|session|block|probe|window,raw/context ready; derived RGB features and QC not generated
sub-057,skipped_complete,TRUE,TRUE,22164,2701,179982,8107,540409,8041,535971,3315,16146,1319,22169,44327,487608,subject|session|block|probe|window,raw/context ready; derived RGB features and QC not generated
sub-058,skipped_complete,TRUE,TRUE,24110,2701,179978,8180,545272,8153,543462,5076,16329,1497,24110,48220,530442,subject|session|block|probe|window,raw/context ready; derived RGB features and QC not generated
sub-059,complete,TRUE,TRUE,21982,2701,179971,8252,550070,8250,549944,2779,16498,1677,22007,43962,483615,subject|session|block|probe|window,raw/context ready; derived RGB features and QC not generated
sub-062,skipped_complete,TRUE,TRUE,22246,2700,179941,8224,548223,8077,538401,3245,16296,1553,22246,44493,489423,subject|session|block|probe|window,raw/context ready; derived RGB features and QC not generated
sub-064,complete,TRUE,TRUE,21478,2701,179980,8003,533490,8120,541269,2654,16120,1321,21510,42955,473121,subject|session|block|probe|window,raw/context ready; derived RGB features and QC not generated
sub-065,complete,TRUE,TRUE,24598,2700,179937,8665,577604,8375,558275,4858,17035,2219,24598,49195,541167,subject|session|block|probe|window,raw/context ready; derived RGB features and QC not generated
sub-067,complete,TRUE,TRUE,24057,2700,179917,8485,565617,8340,555946,4532,16822,2131,24071,48112,529254,subject|session|block|probe|window,raw/context ready; derived RGB features and QC not generated
sub-068,complete,TRUE,TRUE,21820,2700,179937,8173,544781,8124,541516,2823,16292,1544,21820,43640,480051,subject|session|block|probe|window,raw/context ready; derived RGB features and QC not generated
sub-070,complete,TRUE,TRUE,25879,2700,179934,9350,623240,9062,604065,4767,18405,3547,25879,51757,569349,subject|session|block|probe|window,raw/context ready; derived RGB features and QC not generated
sub-071,complete,TRUE,TRUE,24183,2701,179993,8746,582999,8165,544274,4571,16908,2114,24280,48366,532026,subject|session|block|probe|window,raw/context ready; derived RGB features and QC not generated
sub-072,complete,TRUE,TRUE,24292,2701,179986,9174,611525,8848,589779,3569,18018,3177,24292,48583,534435,subject|session|block|probe|window,raw/context ready; derived RGB features and QC not generated
sub-073,complete,TRUE,TRUE,22679,2701,179983,8435,562269,8887,592390,2656,17316,2395,22679,45358,498927,subject|session|block|probe|window,raw/context ready; derived RGB features and QC not generated
sub-074,complete,TRUE,TRUE,22504,2700,179913,8523,568143,8326,555001,2955,16842,1932,22525,45007,495099,subject|session|block|probe|window,raw/context ready; derived RGB features and QC not generated
sub-075,complete,TRUE,TRUE,22673,2701,179968,8132,542072,8511,567346,3329,16639,1889,22673,45345,498795,subject|session|block|probe|window,raw/context ready; derived RGB features and QC not generated
sub-076,complete,TRUE,TRUE,21282,2700,179900,7985,532271,8037,535742,2560,16018,1277,21282,42563,468204,subject|session|block|probe|window,raw/context ready; derived RGB features and QC not generated
sub-077,complete,TRUE,TRUE,23846,2700,179932,8765,584252,8635,575601,3746,17395,2530,24046,47691,524568,subject|session|block|probe|window,raw/context ready; derived RGB features and QC not generated
sub-078,complete,TRUE,TRUE,24251,2700,179920,8592,572731,8535,568913,4424,17120,2189,24276,48502,533544,subject|session|block|probe|window,raw/context ready; derived RGB features and QC not generated
sub-081,complete,TRUE,TRUE,22233,2701,179970,8180,545273,8033,535470,3319,16208,1464,22233,44465,489885,subject|session|block|probe|window,raw/context ready; derived RGB features and QC not generated
sub-082,complete,TRUE,TRUE,23107,2700,179919,8275,551611,8426,561675,3706,16696,1832,23109,46213,508497,subject|session|block|probe|window,raw/context ready; derived RGB features and QC not generated
sub-083,complete,TRUE,TRUE,22282,2701,179967,8336,555643,8298,553150,2947,16630,1885,22287,44563,490215,subject|session|block|probe|window,raw/context ready; derived RGB features and QC not generated
sub-084,complete,TRUE,TRUE,23355,2701,179964,8674,578201,8780,585244,3200,17450,2635,23373,46709,513810,subject|session|block|probe|window,raw/context ready; derived RGB features and QC not generated
sub-085,complete,TRUE,TRUE,22248,2700,179919,8345,556277,8333,555497,2870,16672,1866,22248,44495,489456,subject|session|block|probe|window,raw/context ready; derived RGB features and QC not generated
sub-086,complete,TRUE,TRUE,24643,2700,179915,8525,568254,8669,577861,4749,17190,2353,24803,49285,542322,subject|session|block|probe|window,raw/context ready; derived RGB features and QC not generated
sub-087,complete,TRUE,TRUE,22747,2701,179985,8218,547806,8121,541323,3707,16334,1583,22747,45493,500445,subject|session|block|probe|window,raw/context ready; derived RGB features and QC not generated
sub-088,complete,TRUE,TRUE,22174,2701,179982,8267,551040,8259,550547,2947,16521,1585,22184,44348,487839,subject|session|block|probe|window,raw/context ready; derived RGB features and QC not generated
