feature_set,feature,family,common_core
C,block_num,context,True
C,block_probe_fraction,context,True
C,onset_rel_s,context,True
B,b_trial_count,behavior,True
B,b_rt_mean,behavior,True
B,b_rt_median,behavior,True
B,b_rt_sd,behavior,True
B,b_rt_mad,behavior,True
B,b_rt_cv,behavior,True
B,b_rt_slope,behavior,True
B,b_accuracy,behavior,True
B,b_error_count,behavior,True
B,b_error_rate,behavior,True
B,b_omission_count,behavior,True
B,b_omission_rate,behavior,True
W_basic,m1_phase_std_rad,mmwave,True
W_basic,m1_phase_velocity_mad,mmwave,True
W_basic,m1_phase_accel_mad,mmwave,True
W_basic,m1_log_power_low,mmwave,True
W_basic,m1_log_power_transition,mmwave,True
W_basic,m1_log_power_micro,mmwave,True
W_basic,m1_log_power_high,mmwave,True
W_basic,m1_micro_power_fraction,mmwave,True
W_basic,m1_phase_peak_micro_hz,mmwave,True
W_basic,m1_micro_peak_share,mmwave,True
W_basic,m1_micro_spectral_entropy,mmwave,True
W_basic,m1_harmonic_overlap,mmwave,True
W_basic,m1_harmonic_power_fraction,mmwave,True
W_extended,m1_phase_std_rad,mmwave,True
W_extended,m1_phase_velocity_mad,mmwave,True
W_extended,m1_phase_accel_mad,mmwave,True
W_extended,m1_log_power_low,mmwave,True
W_extended,m1_log_power_transition,mmwave,True
W_extended,m1_log_power_micro,mmwave,True
W_extended,m1_log_power_high,mmwave,True
W_extended,m1_micro_power_fraction,mmwave,True
W_extended,m1_phase_peak_micro_hz,mmwave,True
W_extended,m1_micro_peak_share,mmwave,True
W_extended,m1_micro_spectral_entropy,mmwave,True
W_extended,m1_harmonic_overlap,mmwave,True
W_extended,m1_harmonic_power_fraction,mmwave,True
W_extended,m1_phase_trend_rad_s,mmwave,True
W_extended,q_target_power_snr_db,mmwave,True
W_extended,q_target_amplitude_cv,mmwave,True
W_extended,q_phase_jump_fraction,mmwave,True
W_extended,q_frame_gap_fraction,mmwave,True
W_extended,q_frame_gap_duration_fraction,mmwave,True
W_extended,q_frame_rate_hz,mmwave,True
W_extended,q_selection_margin,mmwave,True
C+B,block_num,context,True
C+B,block_probe_fraction,context,True
C+B,onset_rel_s,context,True
C+B,b_trial_count,behavior,True
C+B,b_rt_mean,behavior,True
C+B,b_rt_median,behavior,True
C+B,b_rt_sd,behavior,True
C+B,b_rt_mad,behavior,True
C+B,b_rt_cv,behavior,True
C+B,b_rt_slope,behavior,True
C+B,b_accuracy,behavior,True
C+B,b_error_count,behavior,True
C+B,b_error_rate,behavior,True
C+B,b_omission_count,behavior,True
C+B,b_omission_rate,behavior,True
C+W_basic,block_num,context,True
C+W_basic,block_probe_fraction,context,True
C+W_basic,onset_rel_s,context,True
C+W_basic,m1_phase_std_rad,mmwave,True
C+W_basic,m1_phase_velocity_mad,mmwave,True
C+W_basic,m1_phase_accel_mad,mmwave,True
C+W_basic,m1_log_power_low,mmwave,True
C+W_basic,m1_log_power_transition,mmwave,True
C+W_basic,m1_log_power_micro,mmwave,True
C+W_basic,m1_log_power_high,mmwave,True
C+W_basic,m1_micro_power_fraction,mmwave,True
C+W_basic,m1_phase_peak_micro_hz,mmwave,True
C+W_basic,m1_micro_peak_share,mmwave,True
C+W_basic,m1_micro_spectral_entropy,mmwave,True
C+W_basic,m1_harmonic_overlap,mmwave,True
C+W_basic,m1_harmonic_power_fraction,mmwave,True
C+W_extended,block_num,context,True
C+W_extended,block_probe_fraction,context,True
C+W_extended,onset_rel_s,context,True
C+W_extended,m1_phase_std_rad,mmwave,True
C+W_extended,m1_phase_velocity_mad,mmwave,True
