frame_index_relative,timestamp_column_1_relative_ms,timestamp_column_2_relative_ms
0,0,0
1,9,2
2,19,5
3,30,18
4,40,23
5,46,28
6,58,38
7,70,43
8,78,44
9,90,46
10,100,54
11,111,61
12,119,76
13,131,81
14,138,87
15,149,99
16,159,106
17,169,116
18,178,125
19,189,142
20,199,155
21,209,157
22,221,170
23,230,179
24,240,188
25,249,197
26,261,212
27,270,222
28,279,228
29,292,240
30,303,253
31,311,265
32,322,271
33,333,287
34,342,293
35,351,299
36,361,309
37,372,328
38,381,332
39,391,339
40,402,358
41,411,365
42,421,368
43,433,380
44,441,391
45,452,409
46,462,416
47,471,422
48,481,430
49,494,441
50,503,455
51,512,459
52,523,474
53,534,487
54,542,490
55,550,507
56,562,513
57,573,521
58,581,530
59,592,541
60,602,555
61,612,565
62,623,577
63,634,587
64,643,596
65,653,604
66,665,614
67,675,624
68,684,636
69,695,647
70,705,663
71,712,669
72,722,682
73,734,690
74,744,695
75,753,703
76,762,718
77,775,728
78,782,733
79,795,749
80,803,758
81,812,766
82,824,780
83,835,783
84,843,794
85,854,813
86,866,819
87,875,824
88,885,835
89,899,846
90,903,862
91,915,868
92,924,877
93,935,888
94,945,903
95,956,910
96,964,915
97,976,925
98,985,936
99,997,958
100,1005,962
101,1016,971
102,1026,974
103,1037,991
104,1047,1003
105,1058,1006
106,1067,1015
107,1078,1037
108,1088,1041
109,1098,1066
110,1108,1072
111,1115,1075
112,1126,1081
113,1137,1087
114,1148,1098
115,1155,1102
116,1168,1120
117,1177,1132
118,1188,1138
119,1197,1145
120,1209,1163
121,1217,1165
122,1227,1180
123,1239,1191
124,1245,1197
125,1257,1218
126,1267,1219
127,1276,1224
128,1289,1235
129,1299,1251
130,1307,1267
131,1317,1268
132,1330,1283
133,1337,1292
134,1349,1296
135,1358,1306
136,1368,1320
137,1380,1329
138,1390,1340
139,1399,1347
140,1411,1359
141,1418,1370
142,1428,1382
143,1439,1393
144,1450,1405
145,1461,1415
146,1471,1421
147,1480,1430
148,1491,1439
149,1499,1455
150,1510,1457
151,1519,1469
152,1531,1481
153,1539,1488
154,1551,1499
155,1561,1512
156,1569,1526
157,1581,1532
158,1592,1542
159,1601,1551
160,1609,1556
161,1621,1571
162,1632,1583
163,1640,1587
164,1651,1602
165,1661,1609
166,1670,1626
167,1681,1629
168,1690,1648
169,1702,1653
170,1711,1660
171,1720,1674
172,1731,1682
173,1741,1692
174,1751,1705
175,1762,1714
176,1772,1728
177,1783,1732
178,1791,1755
179,1803,1758
180,1811,1764
181,1820,1770
182,1833,1781
183,1842,1792
184,1853,1803
185,1861,1811
186,1872,1823
187,1882,1829
188,1893,1840
189,1902,1849
190,1914,1865
191,1923,1870
192,1932,1881
193,1943,1891
194,1951,1897
195,1964,1913
196,1973,1922
197,1986,1938
198,1992,1942
199,2004,1961
200,2015,1967
201,2023,1973
202,2035,1983
203,2044,1999
204,2055,2003
205,2062,2015
206,2073,2021
207,2084,2034
208,2092,2043
209,2104,2051
210,2115,2068
211,2124,2074
212,2135,2083
213,2144,2093
214,2154,2104
215,2166,2114
216,2174,2122
217,2185,2136
218,2196,2146
219,2203,2157
220,2214,2161
221,2226,2172
222,2237,2190
223,2247,2197
224,2256,2206
225,2265,2211
226,2277,2223
227,2286,2234
228,2296,2247
229,2304,2252
230,2314,2275
231,2327,2289
232,2337,2292
233,2346,2296
234,2356,2308
235,2367,2320
236,2377,2330
237,2388,2339
238,2397,2348
239,2405,2354
240,2418,2368
241,2427,2380
242,2437,2389
243,2445,2404
244,2458,2409
245,2467,2415
246,2479,2427
247,2488,2440
248,2498,2446
249,2507,2460
250,2519,2466
251,2530,2480
252,2539,2507
253,2548,2514
254,2559,2515
255,2567,2517
256,2576,2528
257,2590,2540
258,2597,2549
259,2608,2558
260,2618,2570
261,2629,2576
262,2641,2591
263,2646,2598
264,2659,2606
265,2668,2619
266,2676,2624
267,2690,2638
268,2699,2649
269,2710,2657
270,2720,2669
271,2727,2681
272,2739,2692
273,2749,2696
274,2758,2707
275,2769,2719
276,2779,2732
277,2788,2740
278,2800,2752
279,2809,2761
280,2818,2776
281,2830,2779
282,2839,2795
283,2851,2801
284,2860,2816
285,2870,2830
286,2882,2832
287,2890,2842
288,2901,2849
289,2911,2860
290,2919,2870
291,2931,2879
292,2939,2889
293,2951,2900
294,2959,2907
295,2968,2915
296,2981,2930
297,2990,2947
298,3001,2953
299,3012,2959
300,3018,2966
301,3029,2979
302,3042,2993
303,3052,3004
304,3061,3009
305,3073,3021
306,3081,3032
307,3094,3044
308,3103,3053
309,3109,3060
310,3124,3074
311,3131,3082
312,3140,3093
313,3153,3105
314,3161,3115
315,3172,3124
316,3181,3132
317,3192,3151
318,3204,3152
319,3209,3159
320,3221,3169
321,3235,3187
322,3243,3197
323,3253,3199
324,3263,3213
325,3273,3231
326,3284,3236
327,3293,3243
328,3302,3252
329,3313,3260
330,3324,3273
331,3334,3281
332,3345,3296
333,3354,3315
334,3365,3317
335,3374,3320
336,3385,3333
337,3392,3343
338,3404,3354
339,3414,3362
340,3426,3376
341,3434,3387
342,3445,3405
343,3456,3407
344,3463,3412
345,3474,3422
346,3484,3435
347,3495,3443
348,3505,3458
349,3515,3470
350,3525,3478
351,3535,3485
352,3542,3491
353,3555,3507
354,3564,3518
355,3575,3521
356,3585,3540
357,3595,3550
