evaluator_version,session,onset_ms,attention,frame_start,frame_end,model,channels,range_bin,weights,global_offset_s,ecg_hr_bpm,pred_hr_bpm,pred_raw_spectral_hr_bpm,hr_abs_error_bpm,ecg_rmssd_full_ms,radar_rmssd_full_ms,ecg_peak_count,radar_peak_count,matched_beat_count,beat_precision,beat_recall,false_beat_rate,timing_error_signed_mean_ms,timing_error_mae_ms,timing_error_rmse_ms,alignment_offset_s,match_tolerance_ms,matched_interval_count,ibi_mae_ms_matched,ibi_rmse_ms_matched,ibi_bias_ms_matched,rmssd_run_interval_count,ecg_rmssd_matched_ms,radar_rmssd_matched_ms,rmssd_abs_error_ms_matched,rmssd_usable,resp_harmonic_mislock
ECG evaluator v1,sub-97793_,1786869980565,1,24339,27171,S1,3,57,[1.0],0.3650000000000011,82.84432171211598,72.3,84.74576271186442,10.544321712115988,19.859603373528035,288.3098691428396,41,33,22,0.6666666666666666,0.5365853658536586,0.33333333333333337,-15.886363636361876,74.34090909090921,89.0985792152813,0.3650000000000011,150.0,13,74.15384615384606,94.19660291114528,-27.07692307692312,6,14.42913718834197,104.30723848324257,89.8781012949006,True,0
ECG evaluator v1,sub-97793_,1786869980565,1,24339,27171,T0,0|1|2|3,8,"[0.13935502389926788, 0.32276126892218154, 0.2819215705997838, 0.25596213657876676]",0.3650000000000011,82.84432171211598,76.7,52.96610169491526,6.144321712115982,19.859603373528035,285.0851266056591,41,36,21,0.5833333333333334,0.5121951219512195,0.41666666666666663,14.047619047620534,72.76190476190547,87.03201381429417,0.3650000000000011,150.0,13,89.23076923076938,100.4091629284903,-36.69230769230812,7,11.339459128780197,162.83938917432354,151.49993004554335,True,1
ECG evaluator v1,sub-97793_,1786869980565,1,24339,27171,T1,4|5|6|7,57,"[0.15096337699222293, 0.1611040519066643, 0.4325617195214133, 0.2553708515796994]",0.3650000000000011,82.84432171211598,75.7,69.91525423728814,7.144321712115982,19.859603373528035,255.19312179556232,41,36,12,0.3333333333333333,0.2926829268292683,0.6666666666666667,-8.958333333331366,85.125,99.06700173788039,0.3650000000000011,150.0,6,75.75000000000107,86.6989523196983,25.749999999999773,4,18.04623691151912,170.09801096230643,152.05177405078732,True,0
ECG evaluator v1,sub-97793_,1786869980565,1,24339,27171,A4,0|1|4|5,57,"[0.4136400864390289, 0.15139879784875723, 0.21041349659562303, 0.22454761911659088]",0.3650000000000011,82.84432171211598,70.1,61.4406779661017,12.74432171211599,19.859603373528035,257.1180223542388,41,33,14,0.42424242424242425,0.34146341463414637,0.5757575757575757,18.928571428573104,98.71428571428606,103.60708745751255,0.3650000000000011,150.0,6,74.8333333333329,106.72277170313714,4.166666666666572,1,,,,False,0
ECG evaluator v1,sub-97793_,1786869980565,1,24339,27171,C8-PH,0|1|2|3|4|5|6|7,57,"[0.13419564963827585, 0.0491177250412908, 0.2339884975705333, 0.13051140321524757, 0.06826363496680318, 0.07284911354093515, 0.19559866710946486, 0.11547530891744913]",0.3650000000000011,82.84432171211598,75.2,61.4406779661017,7.644321712115982,19.859603373528035,307.73365106858233,41,36,20,0.5555555555555556,0.4878048780487805,0.4444444444444444,-13.34999999999852,69.05000000000004,83.53891308845223,0.3650000000000011,150.0,11,77.5454545454545,98.34124261976798,-13.363636363636715,5,18.688231591031894,139.1042774324351,120.41604584140322,True,0
ECG evaluator v1,sub-97793_,1786870060420,2,32013,35000,S1,6,9,[1.0],0.3650000000000011,83.62369337979094,74.8,66.28724472715098,8.823693379790939,21.0619621593051,272.31809131444584,42,37,22,0.5945945945945946,0.5238095238095238,0.4054054054054054,-9.295454545453248,84.20454545454491,91.8964956300883,0.3650000000000011,150.0,12,90.95833333333287,119.2784731905408,8.625000000000185,2,,,,False,1
ECG evaluator v1,sub-97793_,1786870060420,2,32013,35000,T0,0|1|2|3,9,"[0.3595853097488739, 0.2748061784027752, 0.15479021364180573, 0.21081829820654513]",0.3650000000000011,83.62369337979094,78.2,58.252427184466015,5.423693379790933,21.0619621593051,224.57166435780013,42,39,23,0.5897435897435898,0.5476190476190477,0.41025641025641024,24.52173913043602,65.04347826086982,75.87131553979508,0.3650000000000011,150.0,16,66.49999999999977,78.56645276452252,-7.5625000000003695,14,22.588713996154382,143.87494569938167,121.28623170322729,True,1
ECG evaluator v1,sub-97793_,1786870060420,2,32013,35000,T1,4|5|6|7,9,"[0.357288808182864, 0.20123922992246282, 0.15010491323811187, 0.2913670486565613]",0.3650000000000011,83.62369337979094,72.2,58.252427184466015,11.423693379790933,21.0619621593051,263.99643491353976,42,36,24,0.6666666666666666,0.5714285714285714,0.33333333333333337,42.43750000000148,85.2708333333338,94.78577820538312,0.3650000000000011,150.0,14,68.14285714285668,74.69198656578068,-14.071428571428758,11,24.831431694529442,120.62338081814855,95.7919491236191,True,1
ECG evaluator v1,sub-97793_,1786870060420,2,32013,35000,A4,0|1|4|5,246,"[0.311626819984609, 0.21970662031108357, 0.2874758164609387, 0.18119074324336867]",0.3650000000000011,83.62369337979094,72.9,58.252427184466015,10.72369337979093,21.0619621593051,223.6195749162275,42,37,12,0.32432432432432434,0.2857142857142857,0.6756756756756757,-11.041666666665487,92.12500000000024,102.72526060646754,0.3650000000000011,150.0,4,147.1249999999999,158.25236965050465,147.1249999999999,1,,,,False,1
ECG evaluator v1,sub-97793_,1786870060420,2,32013,35000,C8-PH,0|1|2|3|4|5|6|7,9,"[0.176677590941614, 0.13502246131795925, 0.0760541693615659, 0.10358284402540117, 0.181739573581946, 0.10236293719939049, 0.07635280562856947, 0.14820761794355375]",0.3650000000000011,83.62369337979094,74.3,58.252427184466015,9.323693379790939,21.0619621593051,253.7096202917253,42,37,24,0.6486486486486487,0.5714285714285714,0.3513513513513513,38.91666666666863,74.91666666666734,85.37161413491091,0.3650000000000011,150.0,17,74.73529411764675,82.39404961382019,-19.205882352941362,14,22.588713996154382,138.5640646055103,115.97535060935593,True,1
