session,range_bin,pair,ch_i,ch_j,same_tx,timestamp_source,coherence_hr_timestamp_aware,coherence_br_timestamp_aware,coherence_hr_legacy_frame_index,coherence_br_legacy_frame_index,input_frames,segments,gap_count,median_dt_ms,resampled_fs_hz,gap_threshold_ms,discarded_short_gap_segments,paired_segments,coherence_segments_used,coherence_weighted_by
sub-3_,9,tx0_rx0__tx0_rx1,tx0_rx0,tx0_rx1,True,device_ms,0.7333506880002502,0.9374232158103152,0.7320002913475037,0.9323087930679321,6000,1,0,10.0,100.0,15.0,0,1,1,resampled segment frame count
sub-3_,9,tx0_rx0__tx0_rx1,tx0_rx0,tx0_rx1,True,host_ms,nan,nan,0.7320002913475037,0.9323087930679321,6000,0,1206,8.0,125.0,12.0,1207,0,,
sub-3_,9,tx0_rx0__tx0_rx2,tx0_rx0,tx0_rx2,True,device_ms,0.814312713730831,0.9823749026163833,0.8101759552955627,0.9832835793495178,6000,1,0,10.0,100.0,15.0,0,1,1,resampled segment frame count
sub-3_,9,tx0_rx0__tx0_rx2,tx0_rx0,tx0_rx2,True,host_ms,nan,nan,0.8101759552955627,0.9832835793495178,6000,0,1206,8.0,125.0,12.0,1207,0,,
sub-3_,9,tx0_rx0__tx0_rx3,tx0_rx0,tx0_rx3,True,device_ms,0.8869064758934825,0.9808663232855421,0.8635488152503967,0.9750474691390991,6000,1,0,10.0,100.0,15.0,0,1,1,resampled segment frame count
sub-3_,9,tx0_rx0__tx0_rx3,tx0_rx0,tx0_rx3,True,host_ms,nan,nan,0.8635488152503967,0.9750474691390991,6000,0,1206,8.0,125.0,12.0,1207,0,,
sub-3_,9,tx0_rx0__tx1_rx0,tx0_rx0,tx1_rx0,False,device_ms,0.8919470403538251,0.9907936053385101,0.9037755131721497,0.991337776184082,6000,1,0,10.0,100.0,15.0,0,1,1,resampled segment frame count
sub-3_,9,tx0_rx0__tx1_rx0,tx0_rx0,tx1_rx0,False,host_ms,nan,nan,0.9037755131721497,0.991337776184082,6000,0,1206,8.0,125.0,12.0,1207,0,,
sub-3_,9,tx0_rx0__tx1_rx1,tx0_rx0,tx1_rx1,False,device_ms,0.6139864725316643,0.9072548399100241,0.6180458068847656,0.8955027461051941,6000,1,0,10.0,100.0,15.0,0,1,1,resampled segment frame count
sub-3_,9,tx0_rx0__tx1_rx1,tx0_rx0,tx1_rx1,False,host_ms,nan,nan,0.6180458068847656,0.8955027461051941,6000,0,1206,8.0,125.0,12.0,1207,0,,
sub-3_,9,tx0_rx0__tx1_rx2,tx0_rx0,tx1_rx2,False,device_ms,0.8231490803054958,0.9822885525253694,0.8220722079277039,0.9799206256866455,6000,1,0,10.0,100.0,15.0,0,1,1,resampled segment frame count
sub-3_,9,tx0_rx0__tx1_rx2,tx0_rx0,tx1_rx2,False,host_ms,nan,nan,0.8220722079277039,0.9799206256866455,6000,0,1206,8.0,125.0,12.0,1207,0,,
sub-3_,9,tx0_rx0__tx1_rx3,tx0_rx0,tx1_rx3,False,device_ms,0.8414506648111031,0.9885345753673036,0.8435725569725037,0.9886058568954468,6000,1,0,10.0,100.0,15.0,0,1,1,resampled segment frame count
sub-3_,9,tx0_rx0__tx1_rx3,tx0_rx0,tx1_rx3,False,host_ms,nan,nan,0.8435725569725037,0.9886058568954468,6000,0,1206,8.0,125.0,12.0,1207,0,,
sub-3_,9,tx0_rx1__tx0_rx2,tx0_rx1,tx0_rx2,True,device_ms,0.7251034815325809,0.9469899974097197,0.7155484557151794,0.9410704970359802,6000,1,0,10.0,100.0,15.0,0,1,1,resampled segment frame count
sub-3_,9,tx0_rx1__tx0_rx2,tx0_rx1,tx0_rx2,True,host_ms,nan,nan,0.7155484557151794,0.9410704970359802,6000,0,1206,8.0,125.0,12.0,1207,0,,
sub-3_,9,tx0_rx1__tx0_rx3,tx0_rx1,tx0_rx3,True,device_ms,0.6786653226488583,0.9349167226744906,0.6457608938217163,0.9199153184890747,6000,1,0,10.0,100.0,15.0,0,1,1,resampled segment frame count
sub-3_,9,tx0_rx1__tx0_rx3,tx0_rx1,tx0_rx3,True,host_ms,nan,nan,0.6457608938217163,0.9199153184890747,6000,0,1206,8.0,125.0,12.0,1207,0,,
sub-3_,9,tx0_rx1__tx1_rx0,tx0_rx1,tx1_rx0,False,device_ms,0.7627883096304929,0.9525469592172643,0.7612466216087341,0.945949375629425,6000,1,0,10.0,100.0,15.0,0,1,1,resampled segment frame count
sub-3_,9,tx0_rx1__tx1_rx0,tx0_rx1,tx1_rx0,False,host_ms,nan,nan,0.7612466216087341,0.945949375629425,6000,0,1206,8.0,125.0,12.0,1207,0,,
sub-3_,9,tx0_rx1__tx1_rx1,tx0_rx1,tx1_rx1,False,device_ms,0.920343861785768,0.9820981961213104,0.924450695514679,0.9816450476646423,6000,1,0,10.0,100.0,15.0,0,1,1,resampled segment frame count
sub-3_,9,tx0_rx1__tx1_rx1,tx0_rx1,tx1_rx1,False,host_ms,nan,nan,0.924450695514679,0.9816450476646423,6000,0,1206,8.0,125.0,12.0,1207,0,,
